SENARAI SEKOLAH RENDAH DAN MENENGAH SEPERTI PADA 31 JANUARI 2020,,,,,,,,,,,,,,,,,,,,
BIL,NEGERI,PPD,PERINGKAT,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,MURID,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY
1005,PERAK,PPD KRIAN,Menengah,SMK,AEB3044,SEKOLAH MENENGAH KEBANGSAAN BAGAN SERAI,JALAN MATANG BULUH,34300,BAGAN SERAI,057219588,057216939,AEB3044@moe.edu.my,Bandar,SK,1040,102,ADA,ADA,100.5440151,5.011069306
1006,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEB4072,SEKOLAH MENENGAH KEBANGSAAN RAJA MUDA MUSA,JLN SULTAN ISKANDAR SHAH,33007,KUALA KANGSAR,057733112,057733111,AEB4072@moe.edu.my,Bandar,SK,552,94,ADA,ADA,100.9275575,4.76073558
1007,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEB4073,SEKOLAH MENENGAH KEBANGSAAN TSUNG WAH,"66-B,JLN DATO SAGOR",33000,KUALA KANGSAR,057777644,057764962,AEB4073@moe.edu.my,Bandar,SBK,768,87,TIADA,TIADA,100.9259874,4.770887396
1008,PERAK,PPD KUALA KANGSAR,Menengah,SBP,AEB4074,KOLEJ MELAYU KUALA KANGSAR,JALAN TUN ABDUL RAZAK,33000,KUALA KANGSAR,057761400,057764500,AEB4074@moe.edu.my,Bandar,SK,658,73,TIADA,TIADA,100.936996,4.774472
1009,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEB4075,SEKOLAH MENENGAH KEBANGSAAN METHODIST,JALAN BESAR,31100,SUNGAI SIPUT (U),055981462,055973024,AEB4075@moe.edu.my,Bandar,SBK,648,48,TIADA,TIADA,101.0858207,4.813237343
1010,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEB4076,SEKOLAH MENENGAH KEBANGSAAN SHING CHUNG,JALAN BESAR,31100,SUNGAI SIPUT (U),055981353,055972924,AEB4076@moe.edu.my,Bandar,SBK,1275,106,TIADA,TIADA,101.085419,4.809957
1011,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEB4077,SEKOLAH MENENGAH KEBANGSAAN DATUK HJ ABD WAHAB,JALAN KAMPUNG SENTOSA,31100,SUNGAI SIPUT (U),055981582,055983662,AEB4077@moe.edu.my,Bandar,SK,824,71,ADA,ADA,101.0919595,4.812273408
1012,PERAK,PPD HILIR PERAK,Menengah,SMK,AEB5165,SEKOLAH MENENGAH KEBANGSAAN SULTAN ABDUL AZIZ,JALAN PADANG TEMBAK,36007,TELUK INTAN,056221159,056215348,AEB5165@moe.edu.my,Bandar,SK,858,103,TIADA,TIADA,101.012617,4.001496
1013,PERAK,PPD HILIR PERAK,Menengah,SMK,AEB5166,SEKOLAH MENENGAH KEBANGSAAN RAJA MUDA MUSA,PEKAN BARU,36000,TELUK INTAN,056221123,056219796,AEB5166@moe.edu.my,Bandar,SK,488,73,ADA,ADA,101.012971,3.992246
1014,PERAK,PPD HILIR PERAK,Menengah,SMK,AEB5167,SEKOLAH MENENGAH KEBANGSAAN ST. ANTHONY,PETI SURAT 128,36008,TELUK INTAN,056221914,056221914,AEB5167@moe.edu.my,Bandar,SBK,381,65,TIADA,TIADA,101.023817,4.026968
1015,PERAK,PPD HILIR PERAK,Menengah,SMK,AEB5168,SEKOLAH MENENGAH KEBANGSAAN HORLEY METHODIST,JALAN RAJA MUSA,36000,TELUK INTAN,056221215,056217258,AEB5168@moe.edu.my,Bandar,SBK,803,94,TIADA,TIADA,101.02521,4.02641
1016,PERAK,PPD HILIR PERAK,Menengah,SMK,AEB5169,SEKOLAH MENENGAH KEBANGSAAN CONVENT,JALAN SEKOLAH,36007,TELUK INTAN,056221936,056212842,AEB5169@moe.edu.my,Bandar,SBK,700,63,TIADA,TIADA,101.022715,4.026303
1017,PERAK,PPD HILIR PERAK,Menengah,SMK,AEB5170,SEKOLAH MENENGAH KEBANGSAAN SAN MIN,"LOT 1146,JALAN MERBOK",36000,TELUK INTAN,056221216,056237060,AEB5170@moe.edu.my,Bandar,SBK,1321,104,TIADA,TIADA,101.026944,4.005761
1018,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEB6051,SEKOLAH MENENGAH KEBANGSAAN ST. GEORGE,JALAN STESEN,34000,TAIPING,058072408,058053115,AEB6051@moe.edu.my,Bandar,SBK,648,76,TIADA,TIADA,100.7376686,4.852421588
1019,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEB6052,SEKOLAH MENENGAH KEBANGSAAN (P) TREACHER METHODIST,"NO. 5, JLN MUZIUM",34000,TAIPING,058074888,058074888,AEB6052@moe.edu.my,Bandar,SBK,552,55,TIADA,TIADA,100.7429026,4.860178475
1020,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEB6053,SEKOLAH MENENGAH KEBANGSAAN CONVENT,JALAN CONVENT,34000,TAIPING,058073650,058070415,AEB6053@moe.edu.my,Bandar,SBK,539,61,TIADA,TIADA,100.736775,4.846426
1021,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEB6054,SEKOLAH MENENGAH KEBANGSAAN HUA LIAN,NO 10 JLN LUMBA KUDA,34008,TAIPING,058073472,058066732,AEB6054@moe.edu.my,Bandar,SK,1663,139,TIADA,TIADA,100.7517344,4.861010834
1022,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEB6055,SEKOLAH MENENGAH KEBANGSAAN SRI KOTA,"JALAN RAJA SULONG, KPG BOYAN",34000,TAIPING,058073591,058089915,AEB6055@moe.edu.my,Bandar,SK,398,49,TIADA,TIADA,100.7305464,4.843033246
1023,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEB6056,SEKOLAH MENENGAH KEBANGSAAN DARUL RIDWAN,JALAN IZUDDIN SHAH,34007,TAIPING,058072727,058086570,AEB6056@moe.edu.my,Bandar,SK,518,54,TIADA,TIADA,100.723285,4.856834
1024,PERAK,PPD KINTA SELATAN,Menengah,SMK,AEB9001,SEKOLAH MENENGAH KEBANGSAAN KAMPAR,NO.1 JLN KUALA DIPANG,31900,KAMPAR,054651335,054663235,AEB9001@moe.edu.my,Bandar,SK,367,42,TIADA,TIADA,101.15473,4.328834
1025,PERAK,PPD KINTA SELATAN,Menengah,SMK,AEB9002,SEKOLAH MENENGAH KEBANGSAAN PEI YUAN,NO 9 JALAN KUALA DIPANG,31900,KAMPAR,054661542,054660907,AEB2068@moe.edu.my,Bandar,SBK,1249,75,TIADA,TIADA,101.155109,4.31915
1026,PERAK,PPD BATANG PADANG,Menengah,SMK,AEBA001,SEKOLAH MENENGAH KEBANGSAAN METHODIST,JALAN SLIM,35900,TANJONG MALIM,054596244,054585496,AEBA001@moe.edu.my,Bandar,SBK,768,82,TIADA,TIADA,101.52119,3.685822
1027,PERAK,PPD BATANG PADANG,Menengah,SMK,AEBA002,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,JALAN SLIM LAMA,35900,TANJONG MALIM,054596241,054582376,AEBA002@moe.edu.my,Bandar,SBK,469,44,TIADA,TIADA,101.52532,3.692033
1028,PERAK,PPD BATANG PADANG,Menengah,SMK,AEE0037,SEKOLAH MENENGAH KEBANGSAAN DATO' PANGLIMA PERANG KIRI,TAPAH ROAD,35400,TAPAH ROAD,054181061,054018630,AEE0037@moe.edu.my,Bandar,SK,259,35,TIADA,TIADA,101.1973815,4.175739092
1029,PERAK,PPD BATANG PADANG,Menengah,SMK,AEE0039,SEKOLAH MENENGAH KEBANGSAAN SYEIKH ABDUL GHANI,JALAN SUNGKAI,35500,BIDOR,054341357,054348750,AEE0039@moe.edu.my,Bandar,SK,695,72,TIADA,TIADA,101.2878508,4.105890877
1030,PERAK,PPD BATANG PADANG,Menengah,SMK,AEE0040,SEKOLAH MENENGAH KEBANGSAAN SUNGKAI,JALAN PEKAN LAMA,35600,SUNGKAI,054386609,054386610,AEE0040@moe.edu.my,Luar Bandar,SK,459,71,TIADA,TIADA,101.3100234,3.992822294
1031,PERAK,PPD MANJUNG,Menengah,SMK,AEE1026,SEKOLAH MENENGAH KEBANGSAAN METHODIST (ACS),JALAN LIN CHEN MEI,32000,SITIAWAN,056911071,056926098,AEE1026@moe.edu.my,Bandar,SBK,1552,130,TIADA,TIADA,100.701512,4.197548
1032,PERAK,PPD MANJUNG,Menengah,SMK,AEE1030,SEKOLAH MENENGAH KEBANGSAAN TOK PERDANA,JALAN TOK PERDANA,32000,SITIAWAN,056911154,056926151,AEE1030@moe.edu.my,Bandar,SK,612,66,ADA,ADA,100.7013809,4.214938129
1033,PERAK,PPD MANJUNG,Menengah,SMK,AEE1032,SEKOLAH MENENGAH KEBANGSAAN RAJA SHAHRIMAN,JALAN PARIT,32700,BERUAS,056749237,056748726,AEE1032@moe.edu.my,Luar Bandar,SK,442,59,TIADA,TIADA,100.788896,4.494887
1034,PERAK,PPD MANJUNG,Menengah,SMK,AEE1036,SEKOLAH MENENGAH KEBANGSAAN AMBROSE,JALAN AYER TAWAR,32400,AYER TAWAR,056722373,056728549,AEE1036@moe.edu.my,Bandar,SK,791,98,ADA,ADA,100.751374,4.290441
1035,PERAK,PPD MANJUNG,Menengah,SMK,AEE1037,SEKOLAH MENENGAH KEBANGSAAN PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,056851014,056851014,AEE1037@moe.edu.my,Luar Bandar,SK,559,58,ADA,ADA,100.559939,4.207871
1036,PERAK,PPD MANJUNG,Menengah,SMK,AEE1038,SEKOLAH MENENGAH KEBANGSAAN DATO' IDRIS,PENGKALAN BHARU,34900,PANTAI REMIS,056771169,056777709,AEE1038@moe.edu.my,Bandar,SK,651,68,TIADA,TIADA,100.64079,4.48638
1037,PERAK,PPD KINTA SELATAN,Menengah,SMK,AEE2066,SEKOLAH MENENGAH KEBANGSAAN TOH INDERA WANGSA AHMAD,JALAN TANJUNG TUALANG,31007,BATU GAJAH,053661440,053669885,AEE2066@moe.edu.my,Bandar,SK,1410,93,TIADA,TIADA,101.043705,4.462321
1038,PERAK,PPD KINTA UTARA,Menengah,SMK,AEE2071,SEKOLAH MENENGAH KEBANGSAAN AMINUDDIN BAKI,JALAN SEKOLAH,31200,CHEMOR,052011395,052015142,AEE2071@moe.edu.my,Bandar,SK,1244,104,ADA,ADA,101.118439,4.724783792
1039,PERAK,PPD KINTA SELATAN,Menengah,SMK,AEE2072,SEKOLAH MENENGAH KEBANGSAAN DATO' BENDAHARA C M YUSUF,JALAN KAMPAR,31800,TANJONG TUALANG,053609219,053606901,AEE2072@moe.edu.my,Bandar,SK,624,59,TIADA,TIADA,101.056871,4.318878
1040,PERAK,PPD KINTA SELATAN,Menengah,SMK,AEE2073,SEKOLAH MENENGAH KEBANGSAAN TRONOH,"JALAN 3, OFF JALAN TRONOH",31750,TRONOH,053676218,053676501,AEE2073@moe.edu.my,Bandar,SK,657,61,ADA,ADA,100.990163,4.425468
1041,PERAK,PPD KRIAN,Menengah,SMK,AEE3045,SEKOLAH MENENGAH KEBANGSAAN MUDZAFFAR SHAH,SIMPANG EMPAT SEMANGGOL,34400,SIMPANG EMPAT,058921200,058921205,AEE3045@moe.edu.my,Bandar,SK,712,78,TIADA,TIADA,100.6227143,4.951615658
1042,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEE4070,SEKOLAH MENENGAH KEBANGSAAN CLIFFORD,JALAN TAIPING,33009,KUALA KANGSAR,057731313,057731314,AEE4070@moe.edu.my,Bandar,SK,719,96,TIADA,TIADA,100.938495,4.772061
1043,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEE4071,SEKOLAH MENENGAH KEBANGSAAN RAJA PEREMPUAN KELSOM,BUKIT KERAJAAN,33000,KUALA KANGSAR,057761516,057777458,AEE4071@moe.edu.my,Bandar,SK,691,76,TIADA,TIADA,100.9430845,4.768421354
1044,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEE4079,SEKOLAH MENENGAH KEBANGSAAN SULTAN TAJUL ARIFFIN,JALAN BESAR PEKAN MANONG,33800,MANONG,057438000,057438002,AEE4079@moe.edu.my,Luar Bandar,SK,410,62,ADA,ADA,100.8813431,4.591763353
1045,PERAK,PPD KUALA KANGSAR,Menengah,SMK,AEE4081,SEKOLAH MENENGAH KEBANGSAAN TUN PERAK,JALAN BESAR,33700,PADANG RENGAS,TIADA,057583590,AEE4081@moe.edu.my,Luar Bandar,SK,556,72,ADA,ADA,100.8474558,4.774573017
1046,PERAK,PPD HILIR PERAK,Menengah,SMK,AEE5171,SEKOLAH MENENGAH KEBANGSAAN DATO' SAGOR,JALAN KAMPAR,36700,LANGKAP,056591968,056596696,AEE5171@moe.edu.my,Bandar,SK,796,87,ADA,ADA,101.148284,4.080239
1047,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEE6050,SEKOLAH MENENGAH KEBANGSAAN KING EDWARD VII,JALAN MUZIUM HULU,34000,TAIPING,058073191,058060431,AEE6050@moe.edu.my,Bandar,SK,940,116,TIADA,TIADA,100.735612,4.856415
1048,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEE6058,SEKOLAH MENENGAH KEBANGSAAN DATO KAMARUDDIN,JALAN BESAR BATU KURAU,34500,BATU KURAU,058880346,058881226,AEE6058@moe.edu.my,Bandar,SK,794,86,ADA,ADA,100.8027141,4.975530995
1049,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEE6059,SEKOLAH MENENGAH KEBANGSAAN DATO' HJ HUSSEIN,JALAN WAN MD RAZALLI,34100,SELAMA,058394048,058396151,AEE6059@moe.edu.my,Bandar,SK,1002,108,ADA,ADA,100.692678,5.213913
1050,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEE6060,SEKOLAH MENENGAH KEBANGSAAN TAT BENG,SG NYIOR,34800,TRONG,058544220,058544409,AEE6060@moe.edu.my,Luar Bandar,SK,596,70,ADA,ADA,100.6852728,4.608551928
1051,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SMK,AEE6061,SEKOLAH MENENGAH KEBANGSAAN TENGKU MENTERI,JALAN KUALA KANGSAR,34850,CHANGKAT JERING,058554019,058552996,AEE6061@moe.edu.my,Bandar,SK,583,67,TIADA,TIADA,100.7237766,4.787870159
1052,PERAK,PPD HULU PERAK,Menengah,SMK,AEE7031,SEKOLAH MENENGAH KEBANGSAAN DATO AHMAD,JALAN ALANG ISKANDAR,33400,LENGGONG,057691260,057691261,AEE7031@moe.edu.my,Luar Bandar,SK,458,65,TIADA,TIADA,100.966384,5.102522
1053,PERAK,PPD HULU PERAK,Menengah,SMK,AEE7032,SEKOLAH MENENGAH KEBANGSAAN SULTAN IDRIS SHAH II,KAMPUNG AIR PANAS,33300,GERIK,057911393,057917214,AEE7032@moe.edu.my,Luar Bandar,SK,857,99,ADA,ADA,101.108199,5.395694
1054,PERAK,PPD HULU PERAK,Menengah,SMK,AEE7033,SEKOLAH MENENGAH KEBANGSAAN TUN SABAN,JALAN TASEK,33100,PENGKALAN HULU,044778245,044778673,AEE7033@moe.edu.my,Bandar,SK,739,85,TIADA,TIADA,100.994104,5.702041
1055,PERAK,PPD PERAK TENGAH,Menengah,SMK,AEE8701,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,JALAN PEJABAT POS,32800,Parit,053771228,053774420,AEE8701@moe.edu.my,Luar Bandar,SK,470,78,TIADA,TIADA,100.911229,4.474226
1056,PERAK,PPD PERAK TENGAH,Menengah,SMK,AEE8702,SEKOLAH MENENGAH KEBANGSAAN DATO' ABDUL RAHMAN YAAKUB,BOTA KANAN,32600,BOTA,053761626,053763894,AEE8702@moe.edu.my,Bandar,SK,598,65,TIADA,TIADA,100.8839655,4.350516992
1057,PERAK,PPD PERAK TENGAH,Menengah,SMK,AEE8703,SEKOLAH MENENGAH KEBANGSAAN DATO' SERI MAHARAJA LELA,"JALAN BESAR, KG GAJAH",36800,KAMPUNG GAJAH,056311250,056312815,AEE8703@moe.edu.my,Luar Bandar,SK,823,80,ADA,ADA,100.9433198,4.18043603
1058,PERAK,PPD KINTA SELATAN,Menengah,SMK,AEE9001,SEKOLAH MENENGAH KEBANGSAAN IDRIS SHAH,KOPISAN BARU,31600,GOPENG,053591314,053591314,AEE9001@moe.edu.my,Bandar,SK,1120,90,ADA,ADA,101.160011,4.461813
1059,PERAK,PPD KINTA SELATAN,Menengah,SMK,AEE9003,SEKOLAH MENENGAH KEBANGSAAN MALIM NAWAR,JALAN BESAR MALIM NAWAR ,31700,MALIM NAWAR ,054771382,054771382,AEE9003@moe.edu.my,Bandar,SK,618,65,ADA,ADA,101.113185,4.347431
1060,PERAK,PPD KINTA SELATAN,Menengah,SMK,AEE9004,SEKOLAH MENENGAH KEBANGSAAN METHODIST (ACS),"18, JLN KUALA DIPANG",31900,KAMPAR,054651330,054660564,AEE9004@moe.edu.my,Bandar,SBK,579,46,TIADA,TIADA,101.152498,4.317044
1061,PERAK,PPD BATANG PADANG,Menengah,SMK,AEEA001,SEKOLAH MENENGAH KEBANGSAAN DATO ZULKIFLI MUHAMMAD,SLIM RIVER,35800,SLIM RIVER,054528275,054527962,AEEA001@moe.edu.my,Bandar,SK,744,90,TIADA,TIADA,101.3982411,3.836137072
1062,PERAK,PPD BAGAN DATUK,Menengah,SMK,AEEB001,SEKOLAH MENENGAH KEBANGSAAN KHIR JOHARI,"BATU 17, JALAN BAGAN DATOH",36300,SUNGAI SUMUN,056489218,056489943,AEE5173@moe.edu.my,Bandar,SK,824,97,TIADA,TIADA,100.850058,3.891203
1063,PERAK,PPD BAGAN DATUK,Menengah,SMK,AEEB002,SEKOLAH MENENGAH KEBANGSAAN TUN ABD RAZAK,"BATU 23, SELEKOH",36200,SELEKOH,056489235,056486109,AEE5174@moe.edu.my,Bandar,SK,523,72,TIADA,TIADA,100.772887,3.910727
1064,PERAK,PPD BAGAN DATUK,Menengah,SMK,AEEB003,SEKOLAH MENENGAH KEBANGSAAN SERI MUARA,JALAN SIMPANG EMPAT -BAGAN DATOH,36100,BAGAN DATOH,056466216,056467889,AEE5175@moe.edu.my,Luar Bandar,SK,237,34,ADA,ADA,100.787387,3.982372
1065,PERAK,PPD KINTA UTARA,Menengah,SM SABK,AFA2001,MAAHAD TAHFIZ AL-QURAN & AKADEMIK BAKIP (MATAQAB),"LOT 339319, BANDAR MERU RAYA",30020,IPOH,052560212,TIADA,AFA2001@moe.edu.my,Bandar,SBK,86,27,TIADA,TIADA,101.090032,4.663799
1066,PERAK,PPD BATANG PADANG,Menengah,SM SABK,AFT0001,SMA DAERAH BATANG PADANG,JALAN TAPAH,35500,BIDOR,054344305,054344305,AFT0001@moe.edu.my,Bandar,SBK,305,32,TIADA,TIADA,101.278415,4.143276109
1067,PERAK,PPD MANJUNG,Menengah,SM SABK,AFT1001,MAAHAD ISLAHIAH ADDINIAH,BATU 10 LEKIR,32020,SITIAWAN,056792350,056792350,AFT1001@moe.edu.my,Luar Bandar,SBK,306,31,TIADA,TIADA,100.764625,4.127452
1068,PERAK,PPD KINTA UTARA,Menengah,SM SABK,AFT2001,MAAHAD AL-IMAM ASY SYAFIEE,JELAPANG,30020,IPOH,055281277,055281275,AFT2001@moe.edu.my,Bandar,SBK,251,28,TIADA,TIADA,101.0718606,4.637782947
1069,PERAK,PPD KINTA UTARA,Menengah,SM SABK,AFT2002,SABK MAAHAD AL-UMMAH,JALAN JELAPANG,31200,CHEMOR,052012727,052012357,AFT2002@moe.edu.my,Bandar,SBK,536,60,TIADA,TIADA,101.0857524,4.699822149
1070,PERAK,PPD KRIAN,Menengah,SM SABK,AFT3001,SEKOLAH MENENGAH AGAMA AL-HIDAYAH,PARIT ABAS,34350,KUALA KURAU,057270295,057270297,AFT3001@moe.edu.my,Bandar,SBK,304,29,TIADA,TIADA,100.420352,5.032553
1071,PERAK,PPD KRIAN,Menengah,SM SABK,AFT3003,SMA SHAMSUL MAARIF AL WATANIAH,TANJUNG PIANDANG,34250,TANJUNG PIANDANG,057250234,057255193,AFT3003@moe.edu.my,Bandar,SBK,172,22,TIADA,TIADA,100.393776,5.073328
1072,PERAK,PPD KRIAN,Menengah,SM SABK,AFT3004,SEKOLAH MENENGAH AGAMA AL FALAH,PARIT TOK NGAH,34250,TANJONG PIANDANG,057256081,057250872,AFT3004@moe.edu.my,Bandar,SBK,534,47,TIADA,TIADA,100.4319105,5.090719509
1073,PERAK,PPD KRIAN,Menengah,SM SABK,AFT3005,MAAHAD AL EHYA ASSHARIFF,GUNUNG SEMANGGGOL,34400,SEMANGGOL,058901017,058905524,AFT3005@moe.edu.my,Bandar,SBK,380,46,TIADA,TIADA,100.651403,4.958041
1074,PERAK,PPD KRIAN,Menengah,SM SABK,AFT3006,MA'AHAD AR-RIDHWAN,TELOK MEDAN,34300,BAGAN SERAI,057213321,057214717,AFT3006@moe.edu.my,Bandar,SBK,296,41,TIADA,TIADA,100.5827308,4.984304176
1075,PERAK,PPD KUALA KANGSAR,Menengah,SM SABK,AFT4001,SEKOLAH MENENGAH AGAMA AD-DINIAH AL-ISLAMIAH,"KAMPUNG LALANG, PADANG RENGAS",33700,KUALA KANGSAR,057585042,057583415,AFT4001@moe.edu.my,Luar Bandar,SBK,305,34,TIADA,TIADA,100.8485265,4.783185509
1076,PERAK,PPD KUALA KANGSAR,Menengah,SM SABK,AFT4002,SEKOLAH MENENGAH AGAMA MAAHAD AL-MIZAN,JLN BADAK JELIANG,33800,MANONG,057431431,057431193,AFT4002@moe.edu.my,Luar Bandar,SBK,626,56,TIADA,TIADA,100.8811456,4.63034321
1077,PERAK,PPD KUALA KANGSAR,Menengah,SM SABK,AFT4003,SMA MAAHAD NURUL FADZLIAH,KAMPUNG KELIMAT,31120,SUNGAI SIPUT (U),055912248,055911154,AFT4003@moe.edu.my,Luar Bandar,SBK,200,26,TIADA,TIADA,101.0371053,4.903213093
1078,PERAK,PPD KUALA KANGSAR,Menengah,SM SABK,AFT4004,MAAHAD AL YAHYAWIAH,KG  PONDOK,33700,PADANG RENGAS,057584267,057585661,AFT4004@moe.edu.my,Luar Bandar,SBK,250,34,TIADA,TIADA,100.8431574,4.780591487
1079,PERAK,PPD KUALA KANGSAR,Menengah,SM SABK,AFT4005,MADRASAH IDRISIAH,BUKIT CHANDAN,33000,KUALA KANGSAR,057761961,057768268,AFT4005@moe.edu.my,Luar Bandar,SBK,427,57,TIADA,TIADA,100.949764,4.763526
1080,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SM SABK,AFT6001,SEKOLAH MENENGAH ADDINIAH,KAMPUNG JELUTONG,34850,CHANGKAT JERING,058554667,058554766,AFT6001@moe.edu.my,Bandar,SBK,320,38,TIADA,TIADA,100.7408824,4.781633135
1081,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SM SABK,AFT6002,MAAHAD AL MAARIF AL ISLAMIAH BATU 9 PERAK,BATU 9 JALAN TRONG,34850,CHANGKAT JERING,058553420,058553420,AFT6002@moe.edu.my,Luar Bandar,SBK,194,22,TIADA,TIADA,100.7205144,4.755542674
1082,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SM SABK,AFT6003,SABK MAAHAD AL-KHAIR LIL BANAT,"JALAN SEKOLAH ARAB, KG.JANA BARU",34600,KAMUNTING,058071021,058087750,AFT6003@moe.edu.my,Bandar,SBK,530,48,TIADA,TIADA,100.7240183,4.888673358
1083,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SM SABK,AFT6004,MAAHAD AL TARBIAH AL ISLAMIAH,BATU 8 JALAN TRONG,34850,CHANGKAT JERING,058552957,058551704,AFT6004@moe.edu.my,Bandar,SBK,639,49,TIADA,TIADA,100.7186422,4.767671852
1084,PERAK,PPD LARUT/MATANG/SELAMA,Menengah,SM SABK,AFT6005,SABK SYUBBANIAH,BATU KURAU,34500,BATU KURAU,058880039,058883992,AFT6005@moe.edu.my,Bandar,SBK,220,26,TIADA,TIADA,100.7994624,4.97225927
1085,PERAK,PPD HULU PERAK,Menengah,SM SABK,AFT7001,SMA TAN SRI GHAZALI JAWI,JALAN AIR SUDA,33300,GRIK,057921953,057921953,AFT7001@moe.edu.my,Bandar,SBK,267,27,TIADA,TIADA,101.125815,5.433427
1086,PERAK,PPD PERAK TENGAH,Menengah,SM SABK,AFT8001,SMA MAAHAD AL AZIZ,JALAN MASJID,32800,PARIT,053772489,053771378,AFT8001@moe.edu.my,Luar Bandar,SBK,140,22,TIADA,TIADA,100.9088799,4.475274392
1087,PERAK,PPD PERAK TENGAH,Menengah,SM SABK,AFT8002,MAAHAD EHYAK DINIAH ISLAMIAH,JALAN TANJUNG TUALANG,36800,KAMPUNG GAJAH,056311142,056311142,AFT8002@moe.edu.my,Luar Bandar,SBK,259,26,TIADA,TIADA,100.944793,4.190006
1088,PERAK,PPD BAGAN DATUK,Menengah,SM SABK,AFTB001,SMA AL-ULUM AL-SYAR'IYYAH,"BATU 20, JALAN BAGAN DATOK",36200,SELEKOH,056489358,056486939,AFT5001@moe.edu.my,Bandar,SBK,303,31,TIADA,TIADA,100.8191,3.88959
1089,PERAK,PPD MANJUNG,Menengah,KV,AHA1002,KOLEJ VOKASIONAL SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,056881608,056886327,AHA1002@moe.edu.my,Bandar,SK,293,94,TIADA,TIADA,100.6637541,4.183185417
1090,PERAK,PPD KINTA UTARA,Menengah,KV,AHA2001,KOLEJ VOKASIONAL LEBUH CATOR,LEBUH CATOR,30450,IPOH,052549151,052530997,AHA2001@moe.edu.my,Bandar,SK,409,99,TIADA,TIADA,101.087281,4.605277
1091,PERAK,PPD KINTA UTARA,Menengah,KV,AHA2002,KOLEJ VOKASIONAL IPOH,PERSIARAN BRASH,31400,IPOH,055477405,055471264,AHA2002@moe.edu.my,Bandar,SK,213,71,TIADA,TIADA,101.1156044,4.59503584
1092,PERAK,PPD KRIAN,Menengah,KV,AHA3002,KOLEJ VOKASIONAL KERIAN,JALAN SIAKAP,34300,BAGAN SERAI,057217084,057216077,AHA3002@moe.edu.my,Bandar,SK,364,96,TIADA,TIADA,100.492718,5.020364305
1093,PERAK,PPD KUALA KANGSAR,Menengah,KV,AHA4002,KOLEJ VOKASIONAL KUALA KANGSAR,JALAN TAIPING-KUALA KANGSAR,33700,PADANG RENGAS,057584099,057583313,AHA4002@moe.edu.my,Luar Bandar,SK,539,129,TIADA,TIADA,100.8519679,4.773162948
1094,PERAK,PPD HILIR PERAK,Menengah,KV,AHA5001,KOLEJ VOKASIONAL (PERTANIAN) TELUK INTAN,"BATU 4, JALAN CHANGKAT JONG",36000,TELUK INTAN,056227322,056232941,AHA5001@moe.edu.my,Bandar,SK,451,138,TIADA,TIADA,101.053796,3.991226
1095,PERAK,PPD HULU PERAK,Menengah,KV,AHA7001,KOLEJ VOKASIONAL GERIK,"KM 4, JALAN KUALA RUI",33300,GERIK,057916288,057916588,AHA7001@moe.edu.my,Bandar,SK,295,108,TIADA,TIADA,101.143501,5.452773
1096,PERAK,PPD PERAK TENGAH,Menengah,KV,AHA8002,KOLEJ VOKASIONAL SERI ISKANDAR,SERI ISKANDAR,32610,SERI ISKANDAR,053711370,053711372,AHA8002@moe.edu.my,Bandar,SK,507,132,TIADA,TIADA,100.9448682,4.367086492
1097,PERAK,PPD BATANG PADANG,Menengah,KV,AHAA001,KOLEJ VOKASIONAL SLIM RIVER,JALAN MELATI,35800,SLIM RIVER,054528408,054527678,AHAA001@moe.edu.my,Bandar,SK,517,128,TIADA,TIADA,101.397814,3.822907
