,,,,,
SENARAI BALAI BOMBA DAN PENYELAMAT DI SELURUH MALAYSIA,,,,,
,,,,,
Bil ,Negeri,Zon,Balai,Alamat ,Perhubungan 
119 ,Perak ,Zon Taiping ,BBP Bagan Serai ,"Jalan Besar 34300, Bagan Serai 34300, Perak ",Tel:05-7215444
,,,,,Fax:05-7210331
,,,,,Email: bbp_bserai@bomba.gov.my
120 ,Perak ,Zon Manjung ,BBP Seri Manjung ,"Jalan Dato'Seri Kamaruddin, Seri Manjung 32040, Perak ",Tel:05-6884444
,,,,,Fax:05-6883287
,,,,,Email: bbp_manjung@bomba.gov.my
121 ,Perak ,Zon Manjung ,BBP Sitiawan ,"Jalan Haji Mohd Ali 32000, Sitiawan 32000, Perak ",Tel:05-69144444
,,,,,Fax:05-6919010
,,,,,Email: bbp_sitiawan@bomba.gov.my 
122 ,Perak ,Zon Manjung ,BBP Pantai Remis ,"Jalan Pengkalan Bharu, Pantai Remis 34900, Perak ",Tel:05-6771444
,,,,,Fax:05-6777312
,,,,,Email: bbp-remis.bomba@1govuc.gov.my 
123 ,Perak ,Zon Manjung ,BBP Parit ,"Jalan Masjid 32800, Parit 32800, Perak ",Tel:05-3771444
,,,,,Fax:05-3775257
,,,,,Email: bbp_parit@bomba.gov.my 
124 ,Perak ,Zon Manjung ,BBP Seri Iskandar ,"Sri Iskandar 32600, Bota 32600, Perak ",Tel:05-3712024
,,,,,Fax:05 – 371 1839
,,,,,Email: bbp_siskandar@bomba.gov.my
125 ,Perak ,Zon Manjung ,BBP Pulau Pangkor ,"Jalan Besar, Pulau Pangkor 32300, Perak ",Tel:05-6851144
,,,,,Fax:05-6854680
,,,,,Email: bbp_pangkor@bomba.gov.my
126 ,Perak ,Zon Tapah ,BBP Tapah ,"Jalan Cenderiang Lama 35000, Tapah 35000, Perak ",Tel:05-4011444 / 5444
,,,,,Fax:05-4013579
,,,,,Email: bbp_tapah@bomba.gov.my
127 ,Perak ,Zon Tapah ,BBP Teluk Intan ,"Jalan Laksamana 36000, Telok Intan 36000, Perak ",Tel:05-6221444
,,,,,Fax:05-6233387
,,,,,Email: bbp_tlkintan@bomba.gov.my
128 ,Perak ,Zon Tapah ,BBP Tanjung Malim ,"Jalan Slim, Tanjung Malim 35900, Perak ",Tel:05-4596444
,,,,,Fax:05-4581346
,,,,,Email: bbp_tjgmalim@bomba.gov.my
129 ,Perak ,Zon Tapah ,BBP Bidor ,"Jalan Sungkai 35500, Bidor 35500, Perak ",Tel:05-4340444
,,,,,Fax:05-4348920
,,,,,Email: bbp-bidor@1govuc.gov.my 
130 ,Perak ,Zon Tapah ,BBP Slim River ,"Jalan Sungkai 35800, Slim River 35800, Perak ",Tel:05-4528444
,,,,,Fax:05-4526912
,,,,,Email: bbp_slimriver@bomba.gov.my 
131 ,Perak ,Zon Tapah ,BBP Hutan Melintang ,"Jalan Bagan Datoh, Hutan Melintang 36400, Perak ",Tel:05-6414444
,,,,,Fax:05-6416445
,,,,,Email: bbp_hutanmelintang@bomba.gov.my 
132 ,Pulau Pinang ,Zon Jalan Perak ,BBP Jalan Perak ,"Jalan Perak, Georgetown 11600, Pulau Pinang ",Tel:04-2825544 / 5744
,,,,,Fax:04-2810680
,,,,,Email: bbp_jlnperak@bomba.gov.my
133 ,Pulau Pinang ,Zon Jalan Perak ,BBP Bagan Jermal ,"Jalan Tanjung Tokong, Georgetown 10470, Pulau Pinang ",Tel:04-8907335 / 0281
,,,,,Fax:04-890 4444
,,,,,Email: bbp_bgnjermal@bomba.gov.my
134 ,Pulau Pinang ,Zon Jalan Perak ,BBP Lebuh Pantai ,"Georgetown 10300, Pulau Pinang ",Tel:04-2614444
,,,,,Fax:04-262 4444
,,,,,Email: bbp_lebuhpantai@bomba.gov.my 
135 ,Pulau Pinang ,Zon Jalan Perak ,BBP Paya Terubong ,"Jalan Paya Terubong, Air Itam 11500, Pulau Pinang ",Tel:04-8270114 / 0127
,,,,,Fax:04-827 0146
,,,,,Email: bbp-pyterubong.bomba@1govuc.gov.my 
136 ,Pulau Pinang ,Zon Bayan Lepas ,BBP Bayan Baru ,"Jalan Tengah, Bayan Baru 11950, Pulau Pinang ",Tel:04-6434444 / 0445
,,,,,Fax:04-644 4444
,,,,,Email: bbp_bynbaru@bomba.gov.my  
137 ,Pulau Pinang ,Zon Bayan Lepas ,BBP Teluk Bahang ,"Jalan Teluk Bahang 11050, Pulau Pinang ",Tel:04-8814152 / 4153
,,,,,Fax:04-881 4154 / 4416
,,,,,Email: bbp-tlkbahang.bomba@1govuc.gov.my  
138 ,Pulau Pinang ,Zon Bayan Lepas ,BBP Balik Pulau ,"Air Puteh, Jalan Sungai Pinang, Balik Pulau 11000, Pulau Pinang ",Tel:04-8661360 / 8669444
,,,,,Fax:04-866 4444
,,,,,Email: bbp-blkpulau.bomba@1govuc.gov.my  
139 ,Pulau Pinang ,Zon Bayan Lepas ,BBP Sri Balik Pulau ,"Jalan Pulau Betong, Balik Pulau 11020, Pulau Pinang",Tel:04-8661495 / 97
,,,,,Fax:04-866 1493
,,,,,Email: bbp-seripulau.bomba@1govuc.gov.my 
140 ,Pulau Pinang ,Zon Perai ,BBP Bandar Perda ,"1025 Mk 7, Jalan Perda Utama, Bukit Mertajam 14000, Pulau Pinang ",Tel:04-5373864
,,,,,Fax:04 - 5397236
,,,,,Email: bbp_bdrperda@bomba.gov.my
141 ,Pulau Pinang ,Zon Perai ,BBP Perai ,"Jalan Perusahaan, Perai 13600, Pulau Pinang ",Tel:04-3984444 / 3970759
,,,,,Fax:04-397 1984 / 390 4444
,,,,,Email: bbp_perai@bomba.gov.my
142 ,Pulau Pinang ,Zon Perai ,BBP Bukit Mertajam ,"Jalan Che Bee Nor, Bukit Mertajam 14000, Pulau Pinang ",Tel:04 - 538 4444 / 537 
,,,,,Fax:04-530 4444
,,,,,Email: bbp-bmertajam.bomba@1govuc.gov.my  
143 ,Pulau Pinang ,Zon Perai ,BBP Nibong Tebal ,"Jalan Atas, Nibong Tebal 14300, Pulau Pinang ",Tel:04-5931444 / 9544
,,,,,Fax:04-594 2920
,,,,,Email: bbp-nbgtebal.bomba@1govuc.gov.my 
144 ,Pulau Pinang ,Zon Perai ,BBP Sungai Bakap ,"Jalan Besar, Simpang Ampat, Seberang Perai Selatan 14100, Pulau Pinang ",Tel:04-5874797 / 4945
,,,,,Fax:04-587 2275
,,,,,Email: bbp_sgbakap@bomba.gov.my
145 ,Pulau Pinang ,Zon Butterworth ,BBP Butterworth ,"Jalan Bagan Luar, Butterworth 12000, Pulau Pinang ",Tel:04-3314444 / 3324444
,,,,,Fax:04-323 4444
,,,,,Email: bbp_bworth@bomba.gov.my  
146 ,Pulau Pinang ,Zon Butterworth ,BBP Kepala Batas ,"Jalan Tun Hamdan Sheikh Tahir, Kepala Batas 13200, Pulau Pinang ",Tel:04-5754444 / 5244
,,,,,Fax:04-574 4444
,,,,,Email: bbp-kbatas.bomba@1govuc.gov.my 
147 ,Pulau Pinang ,Zon Butterworth ,BBP Kuala Muda ,"Penaga, Seberang Perai Utara 13110, Pulau Pinang ",Tel:04-5794175
,,,,,Fax:04-579 4217
,,,,,Email: bbp-kualamuda.bomba@1govuc.my 
148 ,Pulau Pinang ,Zon Butterworth ,BBP Tasek Gelugor ,"Jalan Padang Serai, Tasek Gelugor, Seberang Perai Utara 13300, Pulau Pinang ",Tel:04-5734706 / 7254
,,,,,Fax:04-573 4810
,,,,,Email: bbp_tskgelugor@bomba.gov.my
149 ,Kedah ,Zon Kota Setar ,BBP Alor Setar ,"Jalan Tun Razak Alor Setar 05200, Kedah ",Tel:04-7344444
,,,,,Fax:04-7328271
,,,,,Email: -
150 ,Kedah ,Zon Kota Setar ,BBP Jitra ,"Jitra 06000, Kedah ",Tel:04-9171444
,,,,,Fax:04-9171830
,,,,,Email: -
151 ,Kedah ,Zon Kota Setar ,BBP Jalan Raja ,"Alor Setar 05000, Kedah ",Tel:04-7349307
,,,,,Fax:04-7328367
,,,,,Email: -
152 ,Kedah ,Zon Kota Setar ,BBP Kuala Nerang ,"Kuala Nerang 06300, Kedah ",Tel:04-7867584
,,,,,Fax:04-7860439
,,,,,Email: -
153 ,Kedah ,Zon Kota Setar ,BBP Bukit Kayu Hitam ,"06050 Bukit Kayu Hitam, Kedah",Tel:04-9222350
,,,,,Fax:04-9221520
,,,,,Email: -
154 ,Kedah ,Zon Sungai Petani ,BBP Sungai Petani ,"Jalan Petri, Sungai Petani 08000, Kedah ",Tel:04-4214444
,,,,,Fax:04-4235586
,,,,,Email: rosdi-ismail.bomba@1govuc.gov.my 
155 ,Kedah ,Zon Sungai Petani ,BBP Guar Cempedak ,"08800 Guar Chempedak, Kedah",Tel:04-4686444
,,,,,Fax:04-4681551
,,,,,Email: -
156 ,Kedah ,Zon Sungai Petani ,BBP Sik ,"Jalan Hospital Sik 08200, Kedah ",Tel:04-4695216
,,,,,Fax:04-4695461
,,,,,Email: -
157 ,Kedah ,Zon Sungai Petani ,BBP Tikam Batu ,"Sungai Petani 08600, Kedah ",Tel:04-4388444
,,,,,Fax:044389931
,,,,,Email: -
158 ,Kedah ,Zon Sungai Petani ,BBP Yan ,"Batu 24, Jalan Dulang, Yan 06900, Kedah ",Tel:04-4656444
,,,,,Fax:04-4655061
,,,,,Email: -
159 ,Kedah ,Zon Kulim ,BBP Kulim ,"Jalan Tunku Asaad Kulim 09000, Kedah ",Tel:04-4904444
,,,,,Fax:04-4953951
,,,,,Email: -
160 ,Kedah ,Zon Kulim ,BBP Kulim Hi-Tech ,"Balai Bomba dan Penyelamat Kulim Hi Tech, Jalan Mahang 09000, Kedah ",Tel:04-4034444
,,,,,Fax:04-4035254
,,,,,Email: -
161 ,Kedah ,Zon Kulim ,BBP Baling ,"Jalan Mahmud, Baling 09100, Kedah",Tel:04-4701444
,,,,,Fax:04-4707187
,,,,,Email: -
162 ,Kedah ,Zon Kulim ,BBP Serdang ,"Jalan Raya Serdang, 09800 Kedah",Tel:04-4077444
,,,,,Fax:04-4076526
,,,,,Email: -
163 ,Kedah ,Zon Langkawi ,BBP Langkawi ,"Jalan Ayer Hangat, Langkawi 07000, Kedah ",Tel:04-9693004
,,,,,Fax:04-9666444
,,,,,Email: -
164 ,Kedah ,Zon Langkawi ,BBP Persiaran Putra ,"Kuah Langkawi 07000, Kedah ",Tel:04-9664444
,,,,,Fax:04-9672744
,,,,,Email: -
165 ,Perlis ,- ,BBP Kangar ,"Persiaran Jubli Emas, Kangar 01000, Perlis ",Tel:04-9760544
,,,,,Fax:04-9774627
,,,,,Email: bbp_kangar@bomba.gov.my
166 ,Perlis ,- ,BBP Padang Besar ,"Padang Besar 02100, Perlis ",Tel:04-9490094
,,,,,Fax:04-9492119
,,,,,Email: bbp_pdgbesar@bomba.gov.my
167 ,Perlis ,- ,BBP Arau ,"Jalan Pauh, Arau 02600, Perlis ",Tel:04-9864444
,,,,,Fax:04-9863901
,,,,,Email: bbp_arau@bomba.gov.my
168 ,Perlis ,- ,BBP Kuala Perlis ,"Kuala Perlis 02000, Perlis ",Tel:04-9855332
,,,,,Fax:04-9855341
,,,,,Email: bbp-kualapls.bomba@1govuc.gov.my 
169 ,Kelantan ,Zon Kota Bharu ,BBP Kota Bharu ,"Jalan Long Yunus Kota Bharu 15200, Kelantan ",Tel:097484444
,,,,,Fax:097462239
,,,,,Email: bbp-kotabharu.bomba@1govuc.gov.my 
170 ,Kelantan ,Zon Kota Bharu ,BBP Kota Darul Naim ,"Jalan Kota Darul Naim, Kota Bharu 15050, Kelantan ",Tel:09-7475444
,,,,,Fax:097475905
,,,,,Email: bbp_kotadarulnaim@bomba.gov.my
171 ,Kelantan ,Zon Kota Bharu ,BBP Pengkalan Chepa ,"Jalan Padang Tembak, Pengkalan Chepa 16100, Kelantan ",Tel:09-7744444
,,,,,Fax:09-7748298
,,,,,Email: bbp_pengkalanchepa@bomba.gov.my
172 ,Kelantan ,Zon Kota Bharu ,BBP Ketereh ,"Jln Kuala Krai Ketereh 16450, Kelantan ",Tel:09-7884444 
,,,,,Fax:09-7884406
,,,,,Email: bbp_ketereh@bomba.gov.my
173 ,Kelantan ,Zon Kota Bharu ,BBP Pasir Mas ,"Jalan Pohon Celagi, Pasir Mas 17000, Kelantan ",Tel:09-7909444
,,,,,Fax:09-7904944
,,,,,Email: bbp-pasirmas.bomba@1govuc.gov.my 
174 ,Kelantan ,Zon Kota Bharu ,BBP Rantau Panjang ,"Jalan Lebuh Raya, Rantau Panjang 17200, Kelantan ",Tel:09 - 795 0444
,,,,,Fax:09 - 795 2770
,,,,,Email: bbp_rantaupanjang@bomba.gov.my 
175 ,Kelantan ,Zon Kota Bharu ,BBP Tumpat ,"Jalan Tumpat - Kota Bharu, Kampong Sedar 16200, Kelantan ",Tel:09-7257444
,,,,,Fax:09-7253699
,,,,,Email: bbp_tumpat@bomba.gov.my
176 ,Kelantan ,Zon Kota Bharu ,BBP Pengkalan Kubor ,"Tumpat 16080, Kelantan ",Tel:09-7214444
,,,,,Fax:09-7215687
,,,,,Email: kb_pengkalankubor@bomba.gov.my 
177 ,Kelantan ,Zon Kota Bharu ,BBP Bachok ,"Jalan Kg. Telok Bachok 16300, Kelantan ",Tel:09-7788444
,,,,,Fax:09-7783280
,,,,,Email: bbp_bachok@bomba.gov.my
178 ,Kelantan ,Zon Kota Bharu ,BBP Tunjung ,"Bandar Baru Tunjong, Jalan Pasir Mas Salor, Kota Bharu 15100, Kelantan ",Tel:097462699
,,,,,Fax:097473095
,,,,,Email: kb-tunjung.bomba@1govuc.gov.my 
179 ,Kelantan ,Zon Machang ,BBP Tanah Merah ,"Jalan Pasir Mas, 17500, Kelantan ",Tel:09-9556444
,,,,,Fax:09-9553644
,,,,,Email: bbp_tanahmerah@bomba.gov.my
180 ,Kelantan ,Zon Machang ,BBP Jeli ,"Jeli 17600, Kelantan ",Tel:09-9440444
,,,,,Fax:09-9441452
,,,,,Email: bbp_jeli@bomba.gov.my
181 ,Kelantan ,Zon Machang ,BBP Machang ,"Jalan Kuala Krai 18500, Kelantan ",Tel:09-9752444
,,,,,Fax:09-9751821
,,,,,Email: bbp-machang.bomba@1govuc.gov.my 
182 ,Kelantan ,Zon Machang ,BBP Pasir Puteh ,"Jalan Kota Bharu - Pasir Puteh 16800 Pasir Puteh 16800, Kelantan ",Tel:09-7867444
,,,,,Fax:09-7865044
,,,,,Email: bbp-pasirputeh.bomba@1govuc.gov.my 
183 ,Kelantan ,Zon Machang ,BBP Kuala Krai ,"Jalan Ah Seng Kuala Krai 18000, Kelantan ",Tel:09-9666444
,,,,,Fax:09-966044
,,,,,Email: bbp_kualakrai@bomba.gov.my
184 ,Kelantan ,Zon Machang ,BBP Gua Musang ,"Jalan Persiaran Raja Gua Musang 18300, Kelantan ",Tel:09-9121444
,,,,,Fax:09-9123445
,,,,,Email: bbp-guamusang.bomba@1govuc.gov.my 
185 ,Terengganu ,Zon K. Terengganu ,BBP Kuala Terengganu ,"Jalan Kemajuan, Bukit Kecil Kuala Terengganu 20648, Terengganu ",Tel:09-6234444
,,,,,Fax:09-6315351/6241
,,,,,Email: bbp-kt.bomba@1govuc.gov.my 
186 ,Terengganu ,Zon K. Terengganu ,BBP Jalan Kota ,"Jalan Kota, Kuala Terengganu 20000, Terengganu ",Tel:09-6243105
,,,,,Fax:09-6312732/6349
,,,,,Email: bbp-jlnkota.bomba@1govuc.gov.my 
187 ,Terengganu ,Zon K. Terengganu ,BBP Marang ,"Marang 21600, Terengganu ",Tel:09-6183444
,,,,,Fax:09-6185276
,,,,,Email: bbp-marang.bomba@1govuc.gov.my 
188 ,Terengganu ,Zon K. Terengganu ,BBP Wakaf Tapai ,"Wakaf Tapai, Marang 21040, Terengganu ",Tel:09-6803544
,,,,,Fax:09-6803159/3644
,,,,,Email: bbp-wtapai.bomba@1govuc.gov.my 
189 ,Terengganu ,Zon K. Terengganu ,BBP Kuala Berang ,"Kuala Berang 21700, Terengganu ",Tel:09-6811444
,,,,,Fax:09-6813685
,,,,,Email: bbp-kberang.bomba@1govuc.gov.my 
190 ,Terengganu ,Zon K. Terengganu ,BBP Setiu ,"Bandar Permaisuri Setiu 22100, Terengganu ",Tel:09-6097444
,,,,,Fax:09-6097194/09-6097971
,,,,,Email: bbp-setiu.bomba@1govuc.gov.my 
191 ,Terengganu ,Zon K. Terengganu ,BBP Jerteh ,"Jalan Kubang Siam Seberang Jerteh 22000, Terengganu ",Tel:09-6904444
,,,,,Fax:09-6903693 / 09-6903993
,,,,,Email: bbp-jerteh.bomba@1govuc.gov.my 
192 ,Terengganu ,Zon K. Terengganu ,BBP Besut ,"Kampung Raja Besut 22200, Terengganu ",Tel:09-6956444
,,,,,Fax:09-6957024
,,,,,Email: bbp-besut.bomba@1govuc.gov.my 
193 ,Terengganu ,Zon Kerteh ,BBP Dungun ,"Jalan Sungai Penaga, Dungun 23000, Terengganu ",Tel:09-8484444
,,,,,Fax:09-8453420
,,,,,Email: bbp-dungun.bomba@1govuc.gov.my 
194 ,Terengganu ,Zon Kerteh ,BBP Paka ,"Jalan Santong 23100 Paka, Dungun 23100, Terengganu ",Tel:09-8274444
,,,,,Fax:09-8277984/09-8272843
,,,,,Email: bbp-paka.bomba@1govuc.gov.my  
195 ,Terengganu ,Zon Kerteh ,BBP Kemaman ,"Jalan Abdul Rahman Chukai, Kemaman 24000, Terengganu",Tel:09-8594444
,,,,,Fax:09-8582157/09-8593502
,,,,,Email: bbp-kmn.bomba@1govuc.gov.my 
196 ,Terengganu ,Zon Kerteh ,BBP Chukai ,"Jalan Kubang Kurus Kemaman 24000, Terengganu ",Tel:09-8598744
,,,,,Fax:09-8581559/09-8594902
,,,,,Email: bbp_chukai@bomba.gov.my 
197 ,Terengganu ,Zon Kerteh ,BBP Kerteh ,"Kerteh, Kemaman 24300, Terengganu ",Tel:09-8261444
,,,,,Fax:09-8263799
,,,,,Email: bbp-kerteh.bomba@1govuc.gov.my 
198 ,Terengganu ,Zon Kerteh ,BBP Al-Muktafi Billah Shah ,"Bandar Al Muktafi Billah Shah, Ketengah, Dungun 23400, Terengganu ",Tel:09-8221848
,,,,,Fax:09-8221966/1566
,,,,,Email: bbp-ambs.bomba@1govuc.gov.my 
199 ,Terengganu ,Zon Kerteh ,BBP Cheneh ,"Peringkat 2, Bandar Cheneh Baru, Cheneh,  Kemaman 24000, Terengganu ",Tel:09-8730444
,,,,,Fax:09-8733477
,,,,,Email: bbp-cheneh.bomba@1govuc.gov.my 
200 ,Pahang ,Zon Kuantan ,BBP Kuantan ,"Jalan Bukit Ubi 25200, Pahang ",Tel:09-5130994
,,,,,Fax:09-5159444
,,,,,Email: bbp-kuantan.bomba@1govuc.gov.my 
201 ,Pahang ,Zon Kuantan ,BBP Gebeng ,"Jalan Kuantan By-Pass, Kuantan 26190, Pahang ",Tel:09-5837977
,,,,,Fax:09-5837973
,,,,,Email: bbp-gebeng.bomba@1govuc.gov.my 
202 ,Pahang ,Zon Kuantan ,BBP Indera Mahkota ,"Indera Mahkota 25200, Pahang ",Tel:09-5739994
,,,,,Fax:09-5734993
,,,,,Email: bbp-imahkota.bomba@1govuc.gov.my 
203 ,Pahang ,Zon Kuantan ,BBP Taman TAS ,"Taman Tas 25150, Pahang ",Tel:09-5393704
,,,,,Fax:09-5393895
,,,,,Email: bbp-tmntas.bomba@1govuc.gov.my 
204 ,Pahang ,Zon Kuantan ,BBP Rompin ,"Balai Bomba dan Penyelamat Kuala Rompin 26800, Pahang ",Tel:09-4146444
,,,,,Fax:09-4141466
,,,,,Email: bbp-rompin.bomba@1govuc.gov.my 
205 ,Pahang ,Zon Kuantan ,BBP Peramu ,"Balai Bomba dan Penyelamat Peramu 26600, Pahang ",Tel:09-4268804
,,,,,Fax:09-4264195
,,,,,Email: bbp-peramu.bomba@1govuc.gov.my 
206 ,Pahang ,Zon Kuantan ,BBP Pekan ,"Jalan Rompin Lama 26600, Pahang ",Tel:09-4224444
,,,,,Fax:09-4227109
,,,,,Email: bbp-pekan.bomba@1govuc.gov.my 
207 ,Pahang ,Zon Kuantan ,BBP Muadzam Shah ,"Muadzam Shah 26700, Pahang ",Tel:09-4522444
,,,,,Fax:09-4523685
,,,,,Email: bbp-mshah.bomba@1govuc.gov.my 
208 ,Pahang ,Zon Kuantan ,BBP Nenasi ,"Nenasi 26680, Pahang ",Tel:09-4181920
,,,,,Fax:09-4181921
,,,,,Email: bbp-nenasi.bomba@1govuc.gov.my 
209 ,Pahang ,Zon Temerloh ,BBP Temerloh ,"Temerloh 28000, Pahang ",Tel:09-2716999
,,,,,Fax:09-2716944
,,,,,Email: bbp-temerloh.bomba@1govuc.gov.my 
210 ,Pahang ,Zon Temerloh ,BBP Bentong ,"Bentong 28700, Pahang ",Tel:09-2224444
,,,,,Fax:09-2227515
,,,,,Email: bbp-bentong.bomba@1govuc.gov.my 
211 ,Pahang ,Zon Temerloh ,BBP Genting ,"Genting Highlands 69000, Pahang ",Tel:09-61013739
,,,,,Fax:03-61013644
,,,,,Email: bbp-genting.bomba@1govuc.gov.my 
212 ,Pahang ,Zon Temerloh ,BBP Jengka ,"Jengka 26400, Pahang ",Tel:09-4662277
,,,,,Fax:09-4664641
,,,,,Email: bbp-jengka.bomba@1govuc.gov.my 
213 ,Pahang ,Zon Temerloh ,BBP Maran ,"Maran 26500, Pahang ",Tel:09-4771444
,,,,,Fax:09-4771389
,,,,,Email: bbp-maran.bomba@1govuc.gov.my 
214 ,Pahang ,Zon Temerloh ,BBP Karak ,"Karak 28600, Pahang ",Tel:09-2311444
,,,,,Fax:09-2314541
,,,,,Email: bbp-karak.bomba@1govuc.gov.my 
215 ,Pahang ,Zon Temerloh ,BBP Mentakab ,"Mentakab 28400, Pahang ",Tel:09-2771444
,,,,,Fax:09-2774330
,,,,,Email: bbp-mentakab.bomba@1govuc.gov.my 
216 ,Pahang ,Zon Temerloh ,BBP Triang ,"Triang 28300, Pahang ",Tel:09-2554444
,,,,,Fax:09-2557824
,,,,,Email: bbp-triang.bomba@1govuc.gov.my 
217 ,Pahang ,Zon Temerloh ,BBP Jerantut ,"Jalan Bomba, Jerantut 27000, Pahang ",Tel:09-2662444/3444
,,,,,Fax:09-2666819
,,,,,Email: bbp-jerantut.bomba@1govuc.gov.my 
218 ,Pahang ,Zon Temerloh ,BBP Bukit Angin ,"By Pass Temerloh-Mentakab, Temerloh 28000, Pahang ",Tel:09-2716999   
,,,,,Fax:09-2716994
,,,,,Email: bbp_temerloh@bomba.gov.my 
219 ,Pahang ,Zon Lipis ,BBP Raub ,"Raub 27600, Pahang ",Tel:09-3554444
,,,,,Fax:09-3559308
,,,,,Email: bbp-raub.bomba@1govuc.gov.my 
220 ,Pahang ,Zon Lipis ,BBP Kuala Lipis ,"Kuala Lipis 27200, Pahang ",Tel:09-3124444
,,,,,Fax:09-3121542
,,,,,Email: bbp-klipis.bomba@1govuc.gov.my 
221 ,Pahang ,Zon Lipis ,BBP Cameron Highland ,"Cameron Highlands 39100, Pahang ",Tel:05-4911003
,,,,,Fax:05-4914044
,,,,,Email: bbp-cameron.bomba@1govuc.gov.my 
222 ,Sarawak ,Zon Kuching ,BBP Petra Jaya ,"Jalan Sultan Tengah, Kuching 93050, Sarawak ",Tel:082-313557
,,,,,Fax:082-312019
,,,,,Email: bbp_petrajaya@bomba.gov.my
223 ,Sarawak ,Zon Kuching ,BBP Kuching ,"Jalan Padungan, 93100, Sarawak ",Tel:082-241033
,,,,,Fax:082-238225
,,,,,Email: bbp-kuching.bomba@1govuc.gov.my 
224 ,Sarawak ,Zon Kuching ,BBP Batu Lintang ,"Jalan Batu Lintang, Kuching 93200, Sarawak ",Tel:082-241241
,,,,,Fax:082-248370
,,,,,Email: bbp-blintang.bomba@1govuc.gov.my 
225 ,Sarawak ,Zon Kuching ,BBP Lundu ,"Jalan Satu, Lundu 94500, Sarawak",Tel:082-734021
,,,,,Fax:082-734087
,,,,,Email: bbp_lundu@bomba.gov.my
226 ,Sarawak ,Zon Kuching ,BBP Bau ,"KM4, Jalan Bau-Krokong, Bau 94000, Sarawak ",Tel:082-763444
,,,,,Fax:082-762497
,,,,,Email: bbp-bau.bomba@1govuc.gov.my 
227 ,Sarawak ,Zon Kuching ,BBP Tabuan Jaya ,"Jalan Setia Raja, Kuching 93350, Sarawak ","Tel:082-367350,"
,,,,,Fax:082-367481
,,,,,Email: bbp-tabuanjaya.bomba@1govuc.gov.my 
228 ,Sarawak ,Zon Samarahan ,BBP Kota Samarahan ,"Jalan Mohd Musa, Samarahan 94300, Sarawak ",Tel:082-673881
,,,,,Fax:082-673882
,,,,,Email: bbp_kotasamarahan@bomba.gov.my
229 ,Sarawak ,Zon Samarahan ,BBP Siburan ,"KM 31, Jalan Kuching-Serian, Kuching 94200, Sarawak ",Tel:082-864546
,,,,,Fax:082-862095
,,,,,Email: bbp_siburan@bomba.gov.my 
230 ,Sarawak ,Zon Samarahan ,BBP Simunjan ,"Jalan Nanas, Simunjan 94800, Sarawak ",Tel:082-803680
,,,,,Fax:082-803821
,,,,,Email: bbp_simunjan@bomba.gov.my
231 ,Sarawak ,Zon Samarahan ,BBP Serian ,"Jalan Tangga By Pass, Serian 94700, Sarawak ",Tel:082-874190
,,,,,Fax:082-873367 / 873012
,,,,,Email: bbp-serian.bomba@1govuc.gov.my 
232 ,Sarawak ,Zon Sri Aman ,BBP Sri Aman ,"KM7, Jalan Sri Aman-Serian,  Sri Aman 95000, Sarawak ",Tel:083-322228
,,,,,Fax:083-325497
,,,,,Email: bbp_sriaman@bomba.gov.my
233 ,Sarawak ,Zon Sri Aman ,BBP Betong ,"Jalan Bunga Bangit, Betong, Kuching 95700, Sarawak ",Tel:083-471591
,,,,,Fax:083-471548
,,,,,Email: bbp_betong@bomba.gov.my
234 ,Sarawak ,Zon Sri Aman ,BBP Saratok ,"Jalan Spur, Saratok 95400, Sarawak ",Tel:083-436353
,,,,,Fax:083-437411
,,,,,Email: bbp_saratok@bomba.gov.my
235 ,Sarawak ,Zon Sibu ,BBP Sarikei ,"Jalan Bangunan Kerajaan, Sarikei 96100, Sarawak ",Tel:084-654444
,,,,,Fax:084-656452
,,,,,Email: bbp-sarikei@1govuc.gov.my 
236 ,Sarawak ,Zon Sibu ,BBP Bintangor ,"KM 1, Jalan Kelupu, Peti surat 110, Bintagor 96507, Sarawak ",Tel:084-693444
,,,,,Fax:084-694344
,,,,,Email: bbp-bintangor.bomba@1govuc.gov.my 
237 ,Sarawak ,Zon Sibu ,BBP Kanowit ,"Jalan Lukut Penyulau, Kanowit 96700, Sarawak ",Tel:084-752444
,,,,,Fax:084-752419
,,,,,Email: bbp-kanowit.bomba@1govuc.gov.my 
238 ,Sarawak ,Zon Sibu ,BBP Kapit ,"Jalan Beleteh, Kapit 96800, Sarawak ",Tel:084-796444
,,,,,Fax:084-798569
,,,,,Email: bbp_kapit@bomba.gov.my
239 ,Sarawak ,Zon Sibu ,BBP Mukah ,"Jalan Royan, Mukah 96400, Sarawak ",Tel:084-871444
,,,,,Fax:084-872544
,,,,,Email: -
240 ,Sarawak ,Zon Sibu ,BBP Sibu ,"Jalan Central, Sibu 96000, Sarawak ",Tel:084-330343
,,,,,Fax:084-339343
,,,,,Email: bbp-sibu.bomba@1govuc.gov.my 
241 ,Sarawak ,Zon Sibu ,BBP Sungai Merah ,"Jalan Teng Chin Hua, Sibu 96000, Sarawak ",Tel:084-346332
,,,,,Fax:084-347332
,,,,,Email: bbp_sungaimerah@bomba.gov.my
242 ,Sarawak ,Zon Bintulu ,BBP Bintulu ,"Jalan Tun Ahmad Zaidi, Peti Surat 905, Bintulu 97008, Sarawak ",Tel:086-332222/311467
,,,,,Fax:086-335471
,,,,,Email: bbp-bintulu.bomba@1govuc.gov.my 
