Judul,Isi,Label
Beda dari Akbar Tandjung| Ical: Airlangga Jabat Ketum sampai 2019,"Ketua Dewan Pembina Golkar Aburizal Bakrie (Ical) punya pandangan berbeda soal masa jabatan Airlangga Hartarto sebagai ketum. Ical menyebut Airlangga hanya menjabat sampai 2019. ""Pokoknya kalau sekarang sampai 2019,"" ujar Ical di JCC Senayan, Jakarta, Senin (18/12/2017). Airlangga mengisi jabatan yang ditinggalkan Setya Novanto. Ical menolak berandai-andai Airlangga bisa memimpin Golkar sampai 5 tahun ke depan alias hingga 2022. ""Semua bisa kalau mau,"" ucap eks Ketum Golkar ini. Ical juga menolak bicara soal kabar dirinya mendukung caketum lain pada pleno DPP yang akhirnya memutuskan Airlangga menjadi ketum. Ical hanya menegaskan dirinya tidak berpihak. ""Itu yang saya bilang. Yang bilang saya ke tempat lain kan Anda. Saya sebagai ketua dewan pembina selalu mengatakan semua kader adalah kader yang dulu di bawah kepengurusan saya. Bekerja. Saya jadi tidak berpihak,"" kata Ical. Berbeda dari Ical, Wakil Ketua Dewan Kehormatan Golkar Akbar Tandjung meminta pengurus DPP Golkar menetapkan masa kepemimpinan Airlangga Hartarto hingga 2022. ""Mau melakukan perubahan dan perbaikan dengan tema baru, yaitu 'Golkar Bersih, Golkar Jaya, Golkar Menang'. Nah untuk itu, perlu waktu dan persiapan yang matang,"" ujar Akbar terpisah. ""Karena itu, persiapan matang itu butuh waktu. Tentu 2 tahun singkat. Maka yang cocok ya 5 tahun,"" imbuh Akbar.",fact
Polisi Tahan 8 dari 12 Terduga Teroris Sumsel di Mako Brimob Depok,"Polisi menahan 8 dari 12 terduga teroris yang diamankan aparat Densus 88 Antiteror di beberapa wilayah di Sumatera Selatan. Mereka ditetapkan sebagai tersangka. ""Dari 12 terduga teroris yang ditangkap di Sumatera Selatan, 8 di antaranya ditetapkan sebagai tersangka dan sudah ditahan di Rutan Mako Brimob, Depok, Jawa Barat,"" terang Kadiv Humas Polri, Irjen Setyo Wasisto, di gedung Divisi Humas Polri, Jl Trunojoyo, Kebayoran Baru, Jakarta Selatan, Senin (18/12/2017). Mereka yang ditahan antara lain berinisial AK (29), I alias AH (44), S alias AJ (38), S alias AS (40), S (38), Z (36), B (55), dan SW (24). Sementara 4 terduga teroris lainnya dibebaskan dan dipulangkan ke rumah masing-masing. ""Sedangkan empat tersangka yang lain dikembalikan kepada keluarga masing-masing karena tidak cukup bukti,"" ujar Setyo. Keempatnya berinsial JS (15), I (37), Z (45) dan AM alias M (55). 12 terduga teroris ini terjaring dalam upaya preemtive strike (pencegahan) Polri. Upaya tersebut dilakukan dalam rangka pengamanan Hari Natal 2017 dan Tahun Baru 2018. Sebelumnya Mabes Polri merilis identitas 12 terduga teroris serta dugaan keterlibatan mereka pada Selasa (12/12). Berikut 12 terduga teroris yang diamankan di Sumatera Selatan: 1. Abdul Kadir alias Yazid alias Abu Ibrahim. Penangkapan di Semambu, Indralaya, Kab. Ogan Ilir, Sumatera Selatan, pada pukul 05.30 WIB. Keterlibatan: - Anggota Kelompok JAK yang ikut pelatihan di Bukit Gemah Kampar, Riau. - Perencanaan serangan di Riau - Ikut latihan menembak dengan kelompok JAK di Jambi dan masuk dalam DPO. 2. Imron alias Abu Hasan. Penangkapan di Kramat Raya, Perum Graha Elok Persada, Talang Kramat, Kab Banyuasin, Sumatera Selatan, pada pukul 08.00 WIB. Keterlibatan: - Anggota Kelompok JAK, ikut pelatihan di Bukit Gemah Kampar, Riau. - Mengetahui rencana serangan di Riau. - Membantu menyembunyikan DPO. 3. Suwarto alias Abu Jafar alias Fajar. Penangkapan di Jalan Desa Lecah Lubai Ulu Kabupaten Muara Enim, Sumatera Selatan, sekitar pukul 10.20 WIB. Keterlibatan: - Anggota Kelompok JAK, ikut pelatihan di Bukit Gemah Kampar, Riau. - Mengetahui rencana serangan di Riau. - Membantu menyembunyikan DPO. 4. Sugianto alias Abu Faris. Keterlibatan: - Anggota Kelompok JAK, ikut pelatihan di Bukit Gemah Kampar-Riau. - Ikut kajian-kajian bersama sama dengan Solihin, Abu Jafar, Abu Hasan, dan Abu Alana. - Menyembunyikan informasi tentang DPO. 5. Solihin. Penangkapan di rumah pengajian miliknya di Jalan SP 1 Trans Barito Desa Lecah Lubai Ulu, Kab. Muara Enim, Sumatera Selatan, sekitar pukul 15.30 WIB. Keterlibatan: - Menyembunyikan DPO Abdul Kadir alias Yazid alias Abu Ibrahim alias Abu Alana alias Sunardi. - Mengetahui tentang perencanaan penyerangan Mapolres Baturaja dan mengarahkan untuk melakukan penyerangan Kantor Brimob di Jakarta/Depok. - Menyiapkan sarana latihan fisik dan latihan memanah bagi para jemaahnya untuk persiapan penyerangan. - Menggerakkan dan mempublikasikan kepada para pendukung Daullah di Indonesia untuk bergabung membuat komplek/pemukiman/kamp khusus di SP 1 Trans Barito Lubai-Muara Enim. 6. Zulkarnain alias Zul als Zengki. Keterlibatan: - Mengetahui tentang DPO yang ada di kediaman Solihin. - Mengetahui tentang rencana penyerangan ke Mako Brimob Kelapa Dua. - Ikut menyiapkan fisik dan mental jemaah yang siap melakukan penyerangan. 7. Jafar Saputra alias Fajar. Keterlibatan: - Mengetahui keberadaan DPO di kediamannya Solihin. - Mengetahui tentang rencana penyerangan Mapolres Baturaja dan Mako Brimob Kelapa Dua Depok. - Persiapan untuk ikut melakukan penyerangan. 8. Budiman Keterlibatan: - Mengetahui keberadaan DPO di kediaman Solihin. - Aktif mengikuti pengajian di tempat Solihin. - Pendukung Daullah/ISIS. 9. Irfai Keterlibatan: - Aktif pengajian di tempat Solihin. - Pendukung Daullah/ISIS. 10. Zakri Keterlibatan: - Aktif pengajian di tempat Solihin. - Pendukung Daullah/ISIS 11. Abdul Majid alias Majid Keterlibatan: - Aktif pengajian di tempat Solihin. - Pendukung Daullah/ISIS. 12. Slamet Widodo alias Slamet Keterlibatan: - Aktif pengajian di tempat Solihin - Pendukung Daullah/ISIS. ",fact
Gempa 5|4 SR Guncang Jayapura,"Gempa bumi berkekuatan 5,4 SR mengguncang Kabupaten Jayapura, Papua Barat. Gempa tidak berpotensi tsunami. Berdasarkan informasi dari BMKG, gempa terjadi pada pukul 21.51 WIB, Sabtu (23/12/2017). Pusat gempa berada 43 km barat laut Kabupaten Jayapura. Titik gempa di koordinat 2,81 LS dan 139, 51 BT dengan kedalaman 73 kilometer. Belum ada informasi mengenai ada-tidaknya korban akibat gempa. Hingga kini juga belum ada laporan soal dampak gempa tersebut. ",fact
Sandiaga Kaget Kakaknya Indra Uno Ingin Maju Pilbup Kuningan,"Wakil Gubernur DKI Jakarta Sandiaga Uno mengaku kaget dengan rencana pencalonan kakaknya Indra Uno sebagai bakal calon bupati dalam pemilihan bupati (Pilbup) Kuningan 2018. Sandiaga secara pribadi mengaku tidak menyarankan kakaknya maju. ""Jadi kemarin saya juga kaget. Tapi saya dapat briefing memang banyak tokoh-tokoh daerah meminta Beliau. Saya pribadi menyarankan nggak,"" kata Sandiaga kepada detikcom di Kantor Wali Kota Jakarta Selatan, Kebayoran Baru, Jakarta Selatan, Sabtu (23/12/2017). Menurut Sandi, sudah terlalu banyak politikus di Indonesia. Dia menyayangkan bila Indra harus beralih dari akademisi dan pengusaha dan memilih terjun ke dunia politik. ""Di keluarga kita hanya berdua. Saya sudah di politik, Beliau di akademisi dan di dunia usaha. Kemarin beliau udah bisa membangun bersama saya OK OCE. Sayang kalau misalnya beliau akhirnya harus ikut di politik juga,"" ungkapnya. Bukan hanya Sandiaga, Indra Uno disebut juga belum mendapat restu dari Ibunda. ""Sampai sekarang hari ini belum ada restu dari ibu. Setahu saya,"" ujarnya. Sandi menuturkan, sejumlah tokoh masyarakat sudah secara langsung menyampaikan kepadanya terkait niat meminang Indra untuk mengabdi di Kuningan. Sebab, kata Sandiaga, istri Indra berasal dari Kuningan. ""Ada keinginan yang sangat, sangat besar dari masyarakat di Kuningan untuk meminta beliau mengabdi. Karena istrinya kan orang sana. Dia bilang karena istrinya Pak Sandi di DKI, istrinya Pak Indra kan orang Kuningan,"" tuturnya. Kendati tak menyarankan pencalonan tersebut, Sandi mengaku tak bisa menahan jika kakaknya ingin maju sebagai bakal calon bupati Kuningan. Dia hanya bisa mendoakan yang terbaik dari pencalonan tersebut. ""Saya sampaikan saya nggak bisa menahan seandainya dia maju ya tentunya saya doakan yang terbaik,"" ujar Sandi. Ia juga menegaskan, meski mendoakan pencalonan kakak satu-satunya itu, bukan berarti ia mendukung keputusan Indra untuk maju. Sebab, lanjut Sandi, ia ingin Indra tetap menjadi pengusaha. ""Saya nggak bisa bilang mendukung. Tapi saya doakan beliau,"" tuturnya.",fact
Bocah 9 Tahun Hanyut Saat Seberangi Kali Banceuy Bogor,"Polisi masih melakukan pencarian terhadap Adin (9), bocah yang hanyut terbawa arus di Kali Banceuy, Babakan Madang, Kabupaten Bogor. Adin hanyut ketika menyebrang di kali tersebut bersama teman-temannya. ""Sewaktu korban bersama 6 orang temannya sedang menyeberang kali itu, tiba-tiba ada air besar korban bersama temannya terbawa arus,"" kata Kapolsek Bogor Utara, Kompol Wawan Wahyudin kepada detikcom, Sabtu (23/12/2017). Wawan menjelaskan kejadian tersebut terjadi sekitar pukul 16.00 WIB di Bendungan Citaringgul, Kali Banceuy. Wawan menambahkan keenam korban lainnya ditemukan dalam kondisi selamat kecuali Adin. ""Namun teman yang lain bisa diselamatkan,"" kata dia. Upaya pencarian terhadap Adin pun terus dilakukan dengan berkoordinasi Tim BPBD Bogor dan Muspika BBKN Madang. Wawan mengatakan korban hingga saat ini belum ditemukan. ""Sampai saat ini korban belum ditemukan,"" ucapnya. ",fact
Ini 3 Titik Kemacetan di Tol Jakarta Arah Cikampek Malam Ini,"Sejumlah titik di ruas Tol Jakarta-Cikampek arah Cikampek mengalami kemacetan malam ini. Kemacetan dikarenakan lonjakan volume kendaraan. ""(Disebabkan) masih karena volume kendaraan,"" kata petugas PT Jasa Marga, Aldo ketika dihubungi detikcom, Sabtu (23/12/2017) sekitar pukul 21.35 WIB. Aldo menjelaskan titik-titik kemacetan tersebut terjadi di Tol Bekasi Barat KM 13 mengarah ke Cikampek. Panjang antrean kendaraan terjadi kurang lebih 1 km. ""Dari KM 13 ke KM 14,"" tambahnya. Kemudian kemacetan kembali terjadi menjelang Gerbang Tol Cikarang Utama (Cikarut) di KM 29. Kemacetan terjadi akibat volume kendaraan yang hendak membayar tol. ""Selepas Gerbang Tol Cikarut lancar dan padat kembali di KM 39 hingga KM 42,"" terangnya. Dia menambahkan untuk arah dari Cikampek ke Jakarta cenderung ramai lancar. Selain di Tol Jakarta-Cikampek, menurut Aldo kemacetan juga terjadi di Tol Dalam Kota dari Kuningan-Tebet menuju ke Cawang.",fact
Zulkifli Hasan: Janji Kemerdekaan itu Senasib Sepenanggungan," Organisasi Islam Wahdah Islamiyah menggelar Silaturahmi Kebangsaan bersama Ketua MPR Zulkifli Hasan. Acara digelar di Asrama Haji Makassar Sulawesi Selatan dan dihadiri ribuan perwakilan Wahdah Islamiyah dari seluruh Indonesia. Dalam sambutannya, Ketua Harian Wahdah Islamiyah Ustaz Zaitun Rasmin mengapresiasi kiprah Ketua MPR Zulkifli Hasan yang tidak berhenti menyambung silaturrahmi ke penjuru Nusantara. ""Pak Ketua MPR ini di Aksi Palestina hadir, di forum kita ini pun menyempatkan hadir. Yang paling penting beliau terjaga integritasnya dalam mengemban amanat umat,"" kata Ustaz Zaitun Rasmin seperti tertulis dalam keterangan yang diterima detikcom, Sabtu (23/12). Makna lain kehadiran Zulkifli Hasan di Forum Wahdah Islamiyah menurut Ustadz Zaitun Rasmin adalah bentuk keberpihakan pada umat. ""Sebagai tokoh umat Pak Zul bisa menempatkan diri sebagai pemersatu dan penjaga kebhinnekaan kita,"" lanjut Zaitun. Menanggapi hal tersebut, Zulkifli Hasan mengajak Wahdah Islamiyah dan Ormas Islam lainnya untuk memperkuat kesadaran nasionalisme dalam berbangsa. ""Nasionalisme itu peduli bangsanya, peduli daerahnya, peduli pada lingkungannya. Tidak tinggal diam ketika ada praktik korupsi, politik uang atau tenaga kerja ilegal masuk ke daerahnya,"" kata Zulhasan, panggilan akrabnya. Baginya perbaikan sistem demokrasi harus dilaksanakan terus menerus untuk memenuhi janji kemerdekaan yaitu keadilan sosial bagi seluruh rakyat Indonesia. ""Janji kemerdekaan itu senasib sepenanggungan. Ketika Jawa dan Luar Jawa sama sama sejahtera. Demokrasi kita seharusnya menghadirkan keadilan untuk semua, bukan segelintir golongan saja,"" tutup Zul. ",fact
Libur Nataru| PT KAI Daop 6 Operasikan 6 KA Tambahan dan Priority,"Memasuki libur panjang Natal dan Tahun Baru, lonjakan penumpang kereta api mulai terlihat. Untuk mengantisipasi lonjakan penumpang, PT KAI Daop 6 Yogyakarta mengoperasikan 6 KA tambahan dan menyiapkan kereta kelas Priority. ""Jumlah penumpang keberangkatan dari Daop 6 ini naik signifikan. Untuk KA jarak jauh dan sedang, tahun lalu 16.499 penumpang, tahun ini mencapai 19.024 penumpang, naik sekitar 15%. Tambahan ini untuk KA jarah jauh kelas ekonomi, eksekutif dan bisnis,"" ujar Manajer Humas PT KAI Daop 6 Yogyakarta, Eko Budiyanto, di Yogyakarta, Sabtu (23/12/2017). Adapun 6 tambahan KA itu adalah KA Argo Lawu tambahan (Solobalapan-Gambir), KA Argo Dwipangga tambahan (Solobalapan-Gambir), KA Taksaka Pagi tambahan (Yogyakarta-Gambir), KA Taksaka Malam tambahan (Yogyakarta-Gambir), KA Lodaya tambahan (Solobalapan-Bandung) dan KA Sancaka tambahan (Yogyakarta-Surabaya Gubeng). KA tambahan akan dioperasikan mulai 22 Desember hingga 7 Januari 2018 dengan kapasitas 3.100 kursi. Jika ditambah kapasitan kereta reguler 9.900 kursi maka keseluruhan kereta mampu mengangkut 13 ribu penumpang tiap harinya. Selain KA tambahan, juga terdapat kereta api kelas priority yang siap mengangkut penumpang sebagai pilihan alternatif. Untuk tahap awal, dari tanggal 24-26 Desember 2017 adalah rangkaian KA Taksaka Pagi (KA 52) relasi Gambir-Yogya dan KA Taksaka Malam (KA 53) relasi Yogya-Gambir masing-masing akan ditambah 1 kereta kelas Priority. Kemudian dari tanggal 27-31 Desember 2017 adalah rangkaian KA Argo Dwipangga (KA 10, KA 9) relasi Gambir-Solo PP akan ditambah 1 kereta kelas Priority. Sedangkan dari tanggal 2-6 Januari 2018 ada tambahan 1 kereta kelas priority akan ditambahkan pada rangkaian KA Argo LAwu (KA 7, KA 8) relasi Gambir-Solo PP. ""KA Priroity kapasitas angkutnya separo dari KA Eskekutif, Kalau eksekutif 50 tempat duduk, Priority hanya 25-28 tempat duduk. Tarifnya untuk masa Nataru ini Rp 900 ribu. Fasilitasnya memadai, makan prasmanan, minuman bisa pilih ada kopi, teh atau jus,"" kata Eko Budiyanto. ",fact
Kontrakan di Kemayoran Terbakar Gara-gara Korsleting Kipas Angin,"Rumah kontrakan di Jalan Galindra, Kebon Kosong, Kemayoran, Jakarta Pusat, terbakar. Kebakaran disebabkan adanya korsleting listrik pada kipas angin. ""Ada korsleting listrik pada kipas angin,"" kata petugas Sudin Penanggulangan Kebakaran dan Penyelamatan (PKP) Jakarta Pusat, Permadi saat dihubungi detikcom, Sabtu (23/12/2017) pukul 21.00 WIB. Permadi mengatakan api sudah dapat dipadamkan oleh warga sekitar. Namun sebanyak 5 unit mobil pemadam kebakaran tetap dikerahkan ke lokasi untuk melakukan pendinginan. ""5 unit (ke lokasi). Tim kita ngecek dan melakukan pendinginan,"" ucapnya. Permadi belum bisa memastikan berapa rumah yang terdampak akibat kebakaran. Menurutnya tidak ada korban jiwa dalam kejadian tersebut. ""Korban nihil,"" tuturnya. ",fact
Sandiaga: Enjoy Jakarta Masih Cocok Nggak?,"Wakil Gubernur DKI Jakarta Sandiaga Uno menghadiri acara ""New Corporate Identity Launching"" PT Jakarta Tourisindo. Sandiaga sempat mempertanyakan relevansi slogan ""Enjoy Jakarta"" saat ini. ""Enjoy Jakarta masih cocok nggak?"" kata Sandiaga di Hotel Grand Cempaka, Cempaka Putih, Jakarta Pusat, Sabtu (23/12/2017). Sandi menjelaskan maksud dari pernyataannya tersebut. Menurutnya, slogan yang ada haruslah relevan dengan kondisi Jakarta saat ini. ""Karena untuk Jakarta yang bisa maju ke depan kita harus relevan, kokoh dan viral. Jakarta kalau tidak bisa terus menerus menghadirkan pelayanan top of the town yang menjadi viral akan sulit untuk bersaing dengan kota lain,"" ujar Sandiaga. Namun Sandiaga mengaku belum memiliki rencana untuk mengubah slogan tersebut. Meskipun ia mempertanyakan apakah image Jakarta saat ini masih tepat dengan 'Enjoy Jakarta'. ""Belum ada (rencana mengubah),"" katanya. Sandiaga berencana mengkaji kembali relevansi slogan tersebut. Dia akan menerima masukan warga termasuk para ahli branding dan marketing, penggiat bidang pariwisata, dunia usaha dan elemen masyarakat dalam mengkaji slogan tersebut. ""Branding ini harus kuat,"" ujarnya. ",fact
Tangkap Pengedar Narkoba| 2 Kg Sabu dan Seribu Pil Ekstasi Disita,"Polisi menangkap 3 orang pengedar narkoba di Medan, Sumatera Utara. Dari penangkapan, polisi menyita 2 kilogram sabu dan seribu butir pil ekstasi. ""Ini beda kasus. Pelaku sabu inisial RH (24). Untuk yang ekstasi pelaku inisial SR (32) dan HM (34). Yang ekstasi ini, mereka dikendalikan dari Lapas (Tanjung Gusta Medan),"" kata Kapolrestabes Medan Kombes Dadang Hartanto di Mapolrestabes Medan, Sabtu (23/12/2017). Pelaku SR dan HM ditangkap pada Kamis (14/12) di sebuah rumah di Jalan Kejaksaan, Kelurahan Petisah Tengah, Kecamatan Medan Petisah, Medan. ""Bermula dari informasi masyarakat kemudian dilakukan penyelidikan seterus pelaku ditangkap,"" ujarnya. Petugas yang menangkap kedua pelaku kemudian melakukan penggeledahan dan disita seribu ekstasi dari dalam kamar rumah. Dalam pemeriksaan, kedua pelaku ini mengaku dikendalikan dari dalam Lapas Tanjung Gusta Medan dengan inisial SA. ""Ekstasi seribu butir disita. Dikendalikan dari Lapas,"" imbuh Dadang. Lima hari kemudian, Satres Narkoba Polrestabes Medan kembali mengungkap peredaran narkoba. Jumlah barang bukti yang disita sebanyak 2 kilogram sabu. Kurir barang haram itu yakni RH ditangkap. ""Pelaku ditangkap di Jalan Sekata, Kecamatan Medan Barat. Petugas kita menuju ke rumah pelaku dan melakukan penangkapan. Lalu disita dua bungkus sabu yang beratnya dua kilogram sabu,"" jelas Dadang. Kepada petugas, pelaku mengaku sabu itu didapatnya dari seorang pria berinisial KE. Hingga saat ini KE masih diburu polisi. ""Kasus sabu ini masih dikembangkan, apakah jaringan Aceh atau tidak. Terkait narkoba, kita gencar untuk mengantisipasi peredaran narkoba di malam tahun baru,"" ujar Dadang.",fact
Jelang Para Asian Games 2018| Sandiaga Sebut DKI Punya Banyak PR,"Wakil Gubernur DKI Jakarta Sandiaga Uno menyebut masih banyak pekerjaan rumah (PR) DKI Jakarta yang belum terselesaikan jelang Asian Para Games 2018. PR utama, kata Sandi, terkait dengan fasilitas publik yang belum ramah penyandang disabilitas. ""Banyak PR-nya menuju Asian Para Games 2018, banyak fasilitas publik yang akan digunakan untuk Asian Para Games 2018 ini yang belum ramah kaum difabel,"" kata Sandi di kawasan Kota Tua, Jakarta Barat, Sabtu (23/12/2017). Karena itu, Sandiaga akan mengevaluasi fasilitas publik di DKI. Pemprov ditegaskan Sandiaga ingin memastikan setiap sarana fasilitas publik, khususnya untuk Asian Para Games 2018 ramah penyandang disabilitas. ""Sarana transportasi, sarana fasilitas publik yang lainnya, venue-venuenya, semua friendly, ramah terhadap teman-teman kaum difabel,"" ujarnya. Menurut Sandiaga, gelaran yang akan dilangsungkan pada pada 6-13 Oktober 2018 mendatang merupakan kesempatan bagi Pemprov DKI untuk memastikan kesetaraan akses untuk warga disabilitas. Sebab, saat ini, masih banyak catatan terkait kurangnya kesetaraan akses bagi warga disabilitas di Jakarta. ""Saya melihat bahwa Asian Para Games ini adalah momentum kita untuk meningkatkan akses aksebilitas, untuk akses khususnya untuk teman-teman difabel ini sehingga kita akan naik kelas dan bisa dianggap sebagai kota yang ramah kaum difabel,"" terangnya. Gelaran Asian Para Games 2018 rencananya akan diikuti 4.000 atlet difabel. Ada 18 cabang olahraga yang akan dipertandingkan di Asian Para Games 2018. ",fact
Dua Anak Perempuan Tewas Tenggelam di Cipanas Garut,"Dua anak perempuan tewas tenggelam saat berenang di pemandian air panas Cipanas, Kecamatan Tarogong Kaler, Garut. Asma (12) dan Hafsah (11) datang ke Cipanas untuk menghadiri reuni sekolah orangtua mereka. Kapolsek Tarogong Kaler Iptu Tito Bintoro mengatakan insiden tersebut terjadi Sabtu (23/12/2017) siang di kolam renang Cipanas Indah Bawah. ""Betul kejadiannya tadi siang. Korban atas nama Asma dan Habsah keduanya perempuan, warga Kecamatan Cisurupan,"" ungkap Tito kepada wartawan di kantornya, Sabtu (23/12/2017) malam. Kedua korban mengikuti acara reuni sekolah orang tua mereka yang bertempat di Aula hotel tempat pemandian tersebut. Keduanya saat itu meminta izin untuk berenang kepada orang tuanya. ""Namun saat berenang keduanya berenang di kolam yang memiliki ketinggian air 120 cm, hingga keduanya tenggelam,"" katanya. Tito menyebut, saat kejadian berlangsung tidak ada yang mengawasi keduanya berenang. Namun kejadian tersebut sempat diketahui oleh dua warga setempat yang kemudian langsung membawa kedua korban ke Puskesmas Tarogong. ""Keduanya tewas di perjalanan. Mereka diketahui tidak bisa berenang,"" ujar dia. Saat ini, kedua korban telah dibawa oleh orang tua mereka ke kampung halamannya, Kampung Cidatar, Cisurupan untuk dimakamkan. ""Keluarga menolak untuk dilakukan otopsi,"" pungkas Tito. ",fact
"Izin Usaha AXA Life Indonesia Dicabut, Bagaimana Nasib Nasabahnya?"," Otoritas Jasa Keuangan (OJK) telah mencabut izin usaha perusahaan asuransi jiwa PT AXA Life Indonesia (ALI). Hal ini sehubungan dengan telah bergabungnya perusahaan asuransi jiwa tersebut dengan PT AXA Financial Indonesia (AFI). Dengan adanya proses peleburan alias merger dua entitas asuransi tersebut, bagaimana nasib nasabah pemegang polis Axa Life? Dalam keterangan tertulisnya, Minggu (4/2/2018), pihak AXA Financial Indonesia menyatakan, hak dan kewajiban pemegang polis akan beralih kepada AFI. ""Seluruh hak dan kewajiban terhadap pihak ketiga, kreditor dan pemegang polis akan beralih kepada AFI,"" tulis perseroan. Selain itu, pihak AFI pun telah sepakat untuk menerima seluruh karyawan ALI. Perseroan pun menyatakan akan terus berkomitmen untuk melanjutkan pelayanan terbaiknya kepada seluruh pemegang polis, serta dengan seluruh karyawan dan mitra kerja. Baca juga: Gabung dengan AXA Financial, Izin Usaha AXA Life Indonesia Dicabut. Pencabutan izin usaha AXA Life Indonesia berdasarkan SK KDK KEP-2/D.05/2018. Surat tersebut diterbitkan pada tanggal 19 Januari 2018 tentang Pencabutan Izin Usaha Perusahaan Asuransi Jiwa PT AXA Life Indonesia. Dalam penggabungan tersebut, semua aset AXA Life Indonesia serta kewajibannya akan dialihkan ke AXA Financial Indonesia. Kepemilikan saham AFI adalah AXA Asia sekitar 91 persen. Adapun penggabungan dua perusahaan asuransi ini guna memenuhi amanat Undang-undang Nomor 40 Tahun 2014 tentang Asuransi dan Peraturan OJK Nomor 67 Tahun 2016 terkait pengendalian atau kepemilikan tunggal. ",fact
Ini Nilai Tagihan Kartu Kredit yang Wajib Dilaporkan ke Ditjen Pajak," Kementerian Keuangan (Kemkeu) telah mengeluarkan PMK 228/PMK.03/2017 sebagai pengganti PMK Nomor 16/PMK.03/2013 dan perubahannya. Di dalamnya, Ditjen Pajak meminta perbankan untuk menyerahkan data-data transaksi kartu kredit ke pemerintah. Seperti dikutip dari Kontan.co.id, Senin (5/2/2018), Direktur P2 Humas DJP Hestu Yoga Saksama mengatakan bahwa kewajiban penyampaian data kartu kredit oleh perbankan/penyelenggara kartu kredit kepada DJP akan diatur. Namun, belum terang dalam bentuk apa aturan itu akan terbit. Apakah dengan revisi PMK atau lewat instrumen lainnya. Dia mengatakan, agar konsisten dengan penerapan UU Nomor 9 Tahun 2017 tentang Akses Informasi Keuangan Untuk Tujuan Perbankan, aturan pelaksanaan penyampaian data kartu kredit tersebut akan mencakup beberapa poin. Pertama, wajib disampaikan hanya untuk total pembelanjaan (tagihan) paling sedikit Rp 1 miliar dalam setahun. Kedua, disampaikan setiap tahun sesuai periode penyampaian data keuangan untuk saldo rekening per 31 Desember setiap tahunnya. Dengan demikian, penyampaian data kartu kredit oleh perbankan/penyelenggara kartu kredit kepada DJP untuk pertama kalinya adalah data kartu kredit untuk tagihan selama tahun 2018 (Januari s.d. Desember), dengan total tagihan selama setahun tersebut paling sedikit Rp 1 milliar. “Dan disampaikan ke DJP paling lambat akhir April 2019,” kata dia. Sebelumnya, Ditjen Pajak memastikan untuk menunda permintaan perbankan untuk menyerahkan data-data transaksi itu lewat surat yang dikeluarkan Dirjen Pajak Ken Dwijugiasteadi pada 31 Maret 2017 kepada perbankan. (Kontan/Ghina Ghaliya Quddus)",fact
