Case Number,Proceeding ID,Reserved Price (RM),Number of Properties in Auction,Auction Date/Time,Number of Auction,Deposit (Refundable),Address,Lot Number,Parcel Number,Storey Number,Building Number,State,Mukim,District,Coordinate GPS,Property Type,Land Title,Tenure,Built Up (Sf),Land Size (ft²),Land Size (m²),Reserved Area (Malay Reserve/Lot Bumi),Caveat,link,Document,Land Size (acre),Land Size (hectare)
WA-38-2201-11/2023,e4ade250-47bc-4d8b-a943-4904887741b4," RM 1,305,000.00",1,"25/03/2024, 09",1,"RM 130,500.00","No. 17, 17A, Jalan Jinjang Aman 16 (Jalan 2/15), jinjang Utara, 52000, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 63094,N/A,N/A,N/A,Wilayah Persekutuan Kuala Lumpur,Batu,Kuala Lumpur,,ShopOffice,Building,Leasehold,0,"1,604.000000",149.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45156,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=6db9b47a-2777-4dcd-a678-158597dd8ce4&Inline=true,,
WA-38-2209-11/2023,6dc5b367-cf18-4412-9d17-2a5dbeb3f4f8," RM 930,000.00",1,"25/03/2024, 09",1,"RM 93,000.00","Unit No 07-69, Berjaya Times Square, No. 1, Jalan Imbi, 55100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 2001 Seksyen 52,852,8,M1,Wilayah Persekutuan Kuala Lumpur,Bandar Kuala Lumpur,Kuala Lumpur,-,ShopOffice,Building,Freehold,689,689.000000,64.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44945,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=24e42e12-033b-4d52-b256-8464d67d01cd&Inline=true,,
WA-38-2498-12/2023,be1cfe0e-7c96-4ca2-ab2d-69915bdbbebc," RM 5,850,000.00",1,"25/03/2024, 09",1,"RM 585,000.00","Premises No. 29, Jalan Burhanuddin Helmi, Taman Tun Dr. Ismail, 60000, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",No. Lot 30491 & 30492,N/A,N/A,N/A,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,,Semi-Detached,Building,Freehold,0,"7,190.000000",668.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45832,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=747af97c-0417-45e4-a095-2d8966953e32&Inline=true,,
WA-38-2506-12/2023,a0764301-c39f-4a91-b5df-954b33b82adf," RM 185,000.00",1,"25/03/2024, 09",1,"RM 18,500.00","Unit No. 109-05-07, Pudu Impian 1, No. 109, Jalan Pudu Ulu, 56100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","No. Lot 90, Seksyen 90A",93,6,M1,Wilayah Persekutuan Kuala Lumpur,Bandar Kuala Lumpur,Kuala Lumpur,,Apartment,Building,Leasehold,667,667.000000,62.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45955,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=bb076664-f7e9-49a9-b2fb-21266bb8264a&Inline=true,,
WA-38-2510-12/2023,01285c27-ae5a-49c1-877f-9d3aebf0393e," RM 408,000.00",1,"25/03/2024, 09",1,"RM 40,800.00","UNIT NO. 2-9-1, MENARA KLH, 2 JALAN KASIPILLAY, 51200, KUALA LUMPUR, Wilayah Persekutuan Kuala Lumpur",LOT NO. 1307 SEKSYEN 83,N/A,N/A,N/A,Wilayah Persekutuan Kuala Lumpur,BANDAR KUALA LUMPUR,DAERAH KUALA LUMPUR,,Condominium,Building,Freehold,0,"2,034.380000",189.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45950,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=2cbce225-c99b-439b-bd18-11b3f82f976f&Inline=true,,
WA-38-621-04/2023,59ab8bf9-c51a-428d-9ef1-1a500d4913fd," RM 1,400,000.00",1,"25/03/2024, 09",1,"RM 140,000.00","No. 21, Lorong Rahim Kajai 9, Taman Tun Dr Ismail, 60000, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 31816,N/A,N/A,N/A,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,,Terrace,Building,Freehold,0,"1,884.000000",175.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45298,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d5dea2f8-79f7-4390-b273-f7d8793066ed&Inline=true,,
WA-38-622-04/2023,47a6e174-12d5-4081-95c8-b0ffd4b9104a," RM 1,400,000.00",1,"25/03/2024, 09",1,"RM 140,000.00","No. 23, Lorong Rahim Kajai 9, Taman Tun Dr Ismail, 60000, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lot 31817,N/A,N/A,N/A,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,,Terrace,Building,Freehold,0,"1,873.000000",174.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45299,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=78767dda-9f83-4f2d-8921-114d91e3091f&Inline=true,,
KA-38-332-12/2023,cb4db784-497f-4ed2-b422-c5cafe9c66a2," RM 130,000.00",1,"25/03/2024, 09",1,"RM 13,000.00","Unit No. 1041, Taman Bersatu, Jalan Batas Paip, 06600, Kuala Kedah, Kedah",Lot No. 1470,N/A,N/A,N/A,Kedah,Bandar Kuala Kedah,Kota Setar,,Terrace,Building,Freehold,0,657.000000,61.000000,Lot Untuk Orang Melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45124,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=17dcb52c-2a10-4694-ac9c-38d7a89ce679&Inline=true,,
KB-38-1178-12/2023,087fbbdc-9ebc-423b-8cf9-12c7f268a13b," RM 216,000.00",1,"25/03/2024, 09",1,"RM 21,600.00","NO. 437, JALAN SP HEIGHTS 12, SP HEIGHTS, 08000, SUNGAI PETANI, Kedah",LOT 3491,N/A,N/A,N/A,Kedah,BANDAR AMANJAYA,KUALA MUDA,,Semi-Detached,Building,Freehold,"1,400","2,640.000000",245.000000,LOT UNTUK ORANG MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45765,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f7cf9821-da65-4f6c-a0f1-f0b1ddd1326b&Inline=true,,
KB-38-1182-12/2023,3f477db4-d011-4b40-8387-7d22de9cfa30," RM 113,400.00",1,"25/03/2024, 09",1,"RM 11,340.00","No. 42B, Jalan Lembah Merbok 2, Taman Lembah Merbok, 08400, Merbok, Kedah",PT 86 (Lot 86 Seksyen 5),N/A,N/A,N/A,Kedah,Bandar Merbuk,Kuala Muda,,Terrace,Building,Freehold,"1,130","1,400.000000",130.000000,"Lot Untuk Orang Melayu.No. Perserahan ",N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45766,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=c09cae76-d539-4e6e-ac8d-c0edd5d2d765&Inline=true,,
KB-38-1184-12/2023,bc88dfe9-add5-4d03-870e-9f554e8f8cd4," RM 2,700,000.00",1,"25/03/2024, 09",1,"RM 270,000.00","Batu 13, Bukit Besar, 06800, Kota Sarang Semut, Kedah",Lot 9308,N/A,N/A,N/A,Kedah,Sala Besar,Yan,,Land,Others,Freehold,0,,,Pengisytiharan Rezab Melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45767,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=91479dbe-da59-424a-a658-3b5f5f570e8d&Inline=true,2.180000,0.880000
KB-38-1188-12/2023,4e74db00-f0ef-48ed-9efa-9123ad7f0f46," RM 157,500.00",1,"25/03/2024, 09",1,"RM 15,750.00","NO. B-18, LORONG 1/2, TAMAN SERI MESRA, 08100, BEDONG, Kedah",LOT 245 SEK 10,N/A,N/A,N/A,Kedah,BANDAR BEDONG,KUALA MUDA,,Semi-Detached,Building,Freehold,0,"2,863.000000",266.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45833,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=5adf1c7a-8c44-4f91-97ea-57c4d9af18db&Inline=true,,
KB-38-1192-12/2023,4bf72ba2-c341-4581-ad51-811c3c143693," RM 243,000.00",1,"25/03/2024, 09",1,"RM 24,300.00","NO 153, JALAN SP HEIGHTS 5, SP HEIGHTS, 08000, SUNGAI PETANI, Kedah",LOT 3160,N/A,N/A,N/A,Kedah,BANDAR AMANJAYA,KUALA MUDA,,Semi-Detached,Building,Freehold,0,"2,637.160000",245.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45758,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=86812c4c-9173-4270-8622-3b7d6688335c&Inline=true,,
KB-38-1196-12/2023,dccae565-5a6b-43d5-823a-671f48e350be," RM 180,000.00",1,"25/03/2024, 09",1,"RM 18,000.00","NO. 678, LORONG SENANGIN 1/4, TAMAN SENANGIN, 09000, KULIM, Kedah",LOT 1666,N/A,N/A,N/A,Kedah,MUKIM PADANG CHINA,KULIM,,Shop Houses,Building,Freehold,0,"1,399.350000",130.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45759,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=3a7da36f-0805-42de-a8a7-97b6ef4237ef&Inline=true,,
KB-38-1198-12/2023,b87db149-5d19-46cd-9973-933e190f081f," RM 150,000.00",1,"25/03/2024, 09",1,"RM 15,000.00","No. 1330, Jalan Mutiara 5/6, Taman Mutiara (1001-1500), 09700, Karangan, Kedah",No. Lot 4974,N/A,N/A,N/A,Kedah,Pekan Sungai Kob,Kulim,,Terrace,Building,Freehold,0,"1,195.000000",111.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45760,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=5e9b234f-f64d-4e65-8032-6580506ecd5e&Inline=true,,
KB-38-12-01/2024,b62e43f3-938c-4921-8192-f9bc153ffcc3," RM 270,000.00",1,"25/03/2024, 09",1,"RM 27,000.00","NO. 103A, JALAN BUKIT PUTERI 12/5, BANDAR PUTERI JAYA, 08000, SUNGAI PETANI, Kedah",LOT 18454 SEKSYEN 67 (DAHULUNYA DIKENALI SEBAGAI NO PT 87478),N/A,N/A,N/A,Kedah,BANDAR SUNGAI PETANI,KUALA MUDA,,Terrace,Building,Freehold,0,"1,399.310000",130.000000,LOT UNTUK ORANG MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45761,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=e252fcaf-c841-4f91-a05e-abbf08f534d6&Inline=true,,
KB-38-16-01/2024,c3e9be47-b9f9-4705-8c71-718c2855b6a9," RM 153,900.00",1,"25/03/2024, 09",1,"RM 15,390.00","NO 147, JALAN SERI BAYU 2/4, TAMAN SERI BAYU, 08000, SUNGAI LALANG, Kedah",LOT 67817,N/A,N/A,N/A,Kedah,BANDAR SUNGAI PETANI,KUALA MUDA,,Terrace,Building,Freehold,129,"1,200.000000",111.000000,,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45762,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=e595c473-705b-4abe-9637-9203652026fb&Inline=true,,
KB-38-2-01/2024,1e52b718-1ede-4fc2-bafc-c2d7a2835ca8," RM 400,000.00",1,"25/03/2024, 09",1,"RM 40,000.00","NO. 51, KAMPUNG SUNGAI GELAM, JILID 8, MUKIM BUJANG, 08100, BEDONG, Kedah",P.T NO. 627 (SEKARANG LOT 1773),N/A,N/A,N/A,Kedah,BUJANG,KUALA MUDA,,Land,Agriculture,Leasehold,0,,,PENGISYTIHARAN REZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45636,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=7c895b95-ad30-4965-8b57-a399acae265d&Inline=true,3.980000,1.610000
KB-38-22-01/2024,3fb82026-2dd8-4aa4-8a8a-a55a934dd722," RM 210,000.00",1,"25/03/2024, 09",1,"RM 21,000.00","NO 24, JALAN MAHSURI 9/B TAMAN MAHSURI, 09400, PADANG SERAI, Kedah",LOT 5182 SEKSYEN 7,N/A,N/A,N/A,Kedah,BANDAR PADANG SERAI,DAERAH KULIM,,Terrace,Building,Freehold,0,"1,302.430000",121.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45637,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=2e534d25-c5d6-466f-8319-ca04784dddc8&Inline=true,,
KB-38-4-01/2024,a6453ba5-e45c-4afe-9009-2a7f65c83324," RM 272,000.00",1,"25/03/2024, 09",1,"RM 27,200.00","No. 273, Jalan Kenanga 2/4, Bandar Amanjaya, 08000, Sungai Petani, Kedah",PT 52703,N/A,N/A,N/A,Kedah,BANDAR AMANJAYA,KUALA MUDA,,Terrace,Building,Freehold,0,"3,527.000000",327.700000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45793,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d3b98c0a-6d5e-49ff-a821-ad3e515b8cc2&Inline=true,,
KB-38-6-01/2024,8971dd56-5a8a-46ff-980e-377d9ed63baa," RM 140,000.00",1,"25/03/2024, 09",1,"RM 14,000.00","NO. 290, LORONG DESA MAKMUR 1/3, TAMAN DESA MAKMUR 1, 09600, LUNAS, Kedah","1103, SEKSYEN 10",N/A,N/A,N/A,Kedah,BANDAR LUNAS,KULIM,,Terrace,Building,Freehold,920,"1,206.000000",112.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45763,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=6dc23210-fdbf-496c-a724-fc77b87376a4&Inline=true,,
KB-38-8-01/2024,c2f775e4-ce62-4510-9d0f-48e897a0bcf0," RM 180,000.00",1,"25/03/2024, 09",1,"RM 18,000.00","No. 331, Jalan Desa Jaya 2/11, Taman Desa Jaya, 08000, Sungai Petani, Kedah",Lot 9284,N/A,N/A,N/A,Kedah,Bandar Sungai Petani (dahulu dikenali sebagai Mukim Sungai Petani),Kuala Muda,,Terrace,Building,Freehold,0,"1,044.000000",97.000000,Lot Untuk Orang Melayu,"Public Islamic Bank Berhad, Perserahan No. 2923/2019, Suratkuasa Wakil 104/2016 didaftar pada 21 April 2019",https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45764,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=ac6d1bc2-a4f7-4356-9a5e-09e9da68ba89&Inline=true,,
DA-38-596-10/2023,e2bd3923-49f7-4661-9989-f94ab3114381," RM 504,000.00",1,"25/03/2024, 09",1,"RM 50,400.00","NO. 1323-A, JALAN KEMBOJA, TAMAN UDA MURNI, 15400, KOTA BHARU, Kelantan",LOT 1323,N/A,N/A,N/A,Kelantan,BETING,JAJAHAN KOTA BHARU,,Detached-House,Building,Freehold,0,"5,694.000000",529.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/42464,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=6782c6a2-72dd-40fa-925e-41cec8f900ed&Inline=true,,
DA-38-603-10/2023,9b0de0d6-babd-4432-89a6-524588905d9e," RM 800,000.00",1,"25/03/2024, 09",1,"RM 80,000.00","LOT 3476 (PT 760) BLOK H, PASAR AWAM WAKAF CHE YEH, JALAN KUALA KRAI, 15100, KOTA BHARU, Kelantan",LOT 3476,N/A,N/A,N/A,Kelantan,PADANG ENGGANG,KOTA BHARU,,Hotel,Building,Leasehold,0,"1,399.310000",130.000000,,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/42465,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d0b75ec9-87ad-4c18-8397-6bab69c5c8a3&Inline=true,,
DA-38-604-10/2023,c7be94ff-5e29-48d9-88c5-7ffaf1361212," RM 800,000.00",1,"25/03/2024, 09",1,"RM 80,000.00","LOT 3477 (PT 761) BLOK H, PASAR AWAM WAKAF CHE YEH, JALAN KUALA KRAI, 15150, KOTA BHARU, Kelantan",LOT 3477,N/A,N/A,N/A,Kelantan,PADANG ENGGANG,KOTA BHARU,,Hotel,Building,Leasehold,0,"1,399.310000",130.000000,Di dalam kawasan rizab melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/42466,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=085a6356-f83d-469d-b579-83770e9b3c7f&Inline=true,,
DA-38-763-12/2023,a8fa9f73-ed62-4169-b05b-4339d512fba4," RM 63,000.00",1,"25/03/2024, 09",1,"RM 6,300.00","LOT 15890, KG. BECHAH LAUT, 17500, KUALA PAKU, TANAH MERAH, Kelantan",LOT 15890,N/A,N/A,N/A,Kelantan,KUALA PAKU,TANAH MERAH,,Land,Building,Freehold,"12,465",,,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44954,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d6bfa91e-b6a3-479b-9fa5-5e24e0595067&Inline=true,0.290000,0.120000
DA-38-764-12/2023,35bb2465-ef66-42d8-93a8-800c0be42cc1," RM 669,616.00",1,"25/03/2024, 09",1,"RM 66,961.60","S22/2723-F, JALAN KOTA DARULNAIM, 15050, KOTA BHARU, Kelantan",PT 303 SEKSYEN 22,N/A,N/A,N/A,Kelantan,BANDAR KOTA BHARU,JAJAHAN KOTA BHARU,,ShopOffice,Building,Freehold,"6,716","1,679.000000",156.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44949,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=06d6cdd8-0390-45d5-b354-90588f633d48&Inline=true,,
DA-38-766-12/2023,09811594-b548-40c0-8e34-3ebfb41284c7," RM 495,000.00",2,"25/03/2024, 09",1,"RM 49,500.00","2103 & 2104, Jalan Dato’ Lundang, 15200, Kota Bharu, Kelantan",Lot No. 2104,N/A,N/A,N/A,Kelantan,Lundang,Kota Bharu,,Factory,Building,Freehold,0,"3,821.000000",355.000000,Rizab Melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44946,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=96c3c7c7-8c4c-426d-ac97-e12cd01cba8e&Inline=true,,
DA-38-767-12/2023,7fb3e441-ff85-4c4c-9359-d42df716caa3," RM 286,979.00",1,"25/03/2024, 09",1,"RM 28,697.90","LOT 1618, KG.CHETOK, KEDAI PIAH, KETEREH, 16450, KOTA BHARU, Kelantan",Lot 1618,N/A,N/A,N/A,Kelantan,BETA HULU,JAJAHAN KOTA BHARU,,Land,Agriculture,Freehold,0,,,KAWASAN REZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44947,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=2a0e9637-0613-4080-8469-c9d5716f693a&Inline=true,0.430000,0.170000
DA-38-768-12/2023,02f7216a-2a0a-4986-80af-1b982dbe3e3e," RM 80,000.00",1,"25/03/2024, 09",1,"RM 8,000.00","PT 1757, TAMAN SRI KAYANGAN, JALAN LUBOK, ROTAN TAWAR, 17500, TANAH MERAH, Kelantan",LOT 1757,N/A,N/A,N/A,Kelantan,TANAH MERAH,KUSIAL,,Terrace,Building,Freehold,0,"1,194.000000",111.000000,RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45072,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=19789d9a-8f5e-4cdb-9e9e-6bb3baeb0e1f&Inline=true,,
DA-38-769-12/2023,07056218-2fe6-43a0-84fb-8b9a8158225e," RM 135,000.00",1,"25/03/2024, 09",1,"RM 13,500.00","PT 1483, KAMPONG ALOR PASIR, MUKIM GUAL NERING, 17000, PASIR MAS, Kelantan",PT 1483,N/A,N/A,N/A,Kelantan,GUAL NERING,RANTAU PANJANG,,Terrace,Building,Freehold,0,706.000000,65.590000,RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45073,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=1b7ca180-b474-4bfd-ae75-44d8027869ca&Inline=true,,
DA-38-770-12/2023,e21fb450-484f-4d82-a43c-a68e16c0d0de," RM 160,000.00",1,"25/03/2024, 09",1,"RM 16,000.00","PT 1492, TAMAN SP NERING, 17200, PASIR MAS, Kelantan",LOT 1492,N/A,N/A,N/A,Kelantan,GUAL NERING,RANTAU PANJANG,,Terrace,Building,Freehold,0,782.000000,72.650000,RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45074,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=87ac6257-221b-42be-8111-628718a255a7&Inline=true,,
DA-38-771-12/2023,6551d36f-039d-4c6c-8dd4-7989faeee5af," RM 160,000.00",1,"25/03/2024, 09",1,"RM 16,000.00","LOT 20093 (PT 8088), TAMAN HAJI ALI TELONG 2, KAMPUNG BHARU, 16310, BACHOK, Kelantan",LOT 20093 (PT 8088),N/A,N/A,N/A,Kelantan,TELONG,TELONG,,Terrace,Residential,Freehold,0,"1,400.000000",130.000000,RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45075,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=da6f60f9-c5b5-4655-9c2c-ba4b2fa8f030&Inline=true,,
DA-38-772-12/2023,e1daef9b-dc66-4a83-b77b-a814feb24e8f," RM 235,000.00",1,"25/03/2024, 09",1,"RM 23,500.00","PT 3393, TAMAN DESA SRI HAWA, KG BANGGOL KUIN ULU SAT, 18500, MACHANG, Kelantan",PT 3393,N/A,N/A,N/A,Kelantan,ULU SAT,ULU SAT,,Terrace,Building,Freehold,0,"1,099.000000",102.100000,RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45076,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=2e9f7153-b175-497e-a510-13a481661481&Inline=true,,
DA-38-774-12/2023,792e037d-74d5-4514-82cb-d5a2fa73fbad," RM 110,000.00",1,"25/03/2024, 09",1,"RM 11,000.00","No. PT 5075, Taman Bunga Tropika, 18300, Gua Musang, Kelantan",Lot 5208 (PT 5075),N/A,N/A,N/A,Kelantan,Bandar Gua Musang,Gua Musang,,Terrace,Building,Freehold,0,"1,001.040000",93.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44950,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=46c0b879-3b2f-40ca-96c2-1818344a5149&Inline=true,,
DA-38-775-12/2023,8aa7fc40-996b-4b03-afae-aa04f4de3165," RM 326,246.00",2,"25/03/2024, 09",1,"RM 32,624.60","No. 984, Lot 28 & Lot 29, Jalan Hilir Pasar, 16200, Tumpat, Kelantan","Lot 28, Seksyen 1",N/A,N/A,N/A,Kelantan,Bandar Tumpat,Tumpat,,Shop-Lot,Building,Leasehold,0,"1,283.000000",119.190000,Rizab Melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45077,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=3453d855-ce56-40bd-9709-dc6f5aafd6c3&Inline=true,,
DA-38-776-12/2023,a3ccb5b3-5d49-44bf-b216-793c6313afff," RM 132,300.00",1,"25/03/2024, 09",1,"RM 13,230.00","PT 3036, TAMAN SRI BAYU, TAMAN SRI BAYU, 16200, TUMPAT, Kelantan",PT 3036,N/A,N/A,N/A,Kelantan,TUMPAT,JAJAHAN TUMPAT,,Terrace,Building,Leasehold,0,"1,097.920000",102.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45078,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f13664b8-baae-416d-93da-be8a146e3666&Inline=true,,
DA-38-777-12/2023,0ac7fcf3-f9fb-436a-8816-89696feb8e12," RM 740,000.00",1,"25/03/2024, 09",1,"RM 74,000.00","S62/PT.133 (2639), Blok-C, Jalan Kuala Krai, Wakaf Che Yeh, 15050, Kota Bharu, Kelantan",2639,N/A,N/A,N/A,Kelantan,Padang Enggang,Jajahan Kota Bharu,,Shop-Lot,Building,Freehold,0,"1,604.000000",149.000000,Di dalam kawasan rizab Melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44951,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=c3462078-05bc-4a5a-947c-82720cc439c9&Inline=true,,
DA-38-778-12/2023,51d4a76c-2d8e-468e-b191-b9ef4ef2f45d," RM 400,000.00",1,"25/03/2024, 09",1,"RM 40,000.00","Lot 2057, Bandar Baru, 18300, Gua Musang, Kelantan",2057,N/A,N/A,N/A,Kelantan,Bandar Gua Musang,Bandar Gua Musang,,Shop-Lot,Building,Leasehold,0,"1,399.000000",130.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44952,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=35db1095-ab1e-47e9-985f-19757deade93&Inline=true,,
DA-38-779-12/2023,33040f3c-1720-4205-b386-0849ed445e90," RM 150,000.00",1,"25/03/2024, 09",1,"RM 15,000.00","LOT 380, KAMPUNG PAYA DUSUN NYIOR,PASIR HOR, 15100, KOTA BHARU, Kelantan",LOT 380,N/A,N/A,N/A,Kelantan,JELUTONG,KOTA BHARU,,Land,Agriculture,Freehold,0,,,KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44953,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=2219fa1d-1094-4628-846f-6a9c117f1ea2&Inline=true,1.340000,0.540000
DA-38-780-12/2023,b7f5109f-cd6e-42ba-870a-84f3815e0363," RM 295,000.00",1,"25/03/2024, 09",1,"RM 29,500.00","PT 665, Hadapan Pusat Kesihatan Peringat, Peringat, 16400, Kota Bharu, Kelantan",Lot No. 3168 (dahulunya dikenali sebagai PT No. 665),N/A,N/A,N/A,Kelantan,Peringat,"Peringat, Jajahan Kota Bharu",,Terrace,Building,Freehold,0,"1,399.000000",130.000000,Di Dalam Kawasan Rizab Melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44948,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f6627efe-0ca0-485c-a687-00e8b8f1f55d&Inline=true,,
