0,1,2,3,4,5,6
2. berkenaan dengan seseorang yang dianggap tidak berkemampuan atau berkebolehan.,Mengaji pon tak habeh lagi dah galak nak menikah.,[m«.NA.dZi pon tA/ hA.beh lA.gi dAh gAlA/ nA/ m«.ni.kAh],Belajar belum pun habis lagi sudah galak hendak berkahwin.,,,
5. mengambil baki sesuatu dengan izin pemiliknya,Belen duet beli nasik bungkuih hang gabuih kat hang.,[bE.lEn du.wet b«.li nA.si/ buN.kuC hAN gA.buC kAt hAN],Baki duit beli nasi bungkus awak ambillah.,,,
"4. memadam, mencuci atau menanggalkan kekotoran pada sesuatu dengan menggunakan sesuatu",Hang tulong gabuih papan tuleh dengan kaen.,[hAN tu.loN gA.buC pA.pAn tu.leh d«.NAn kAen],Awak tolong padam papan tulis dengan kain.,,,
3. mencuri,Hantu mana yang gabuih kasut jepun aku.,[hAn.tu mA.nA jAN gA.buC kA.sut dZ«.pun A.ku],Siapa yang curi selipar jepun saya.,,,
2. mengambil sesuatu secara berlebihan,Kue more malam tadi habeh Pak Nan gabuih.,[kue mo.ÒE mA.lAm tA.di hA.beh pA nAn gA.buC],Kuih moreh malam tadi habis Pak Nan ambil.,,,
2. sentiasa,Ada apa yang hang dok pi rumah dia tu?,[A.dA A.pA jAN hAN do/ pi Òu.mAh di.jA tu],Ada apa yang awak sentiasa pergi ke rumahnya itu?,,,
3. berkenaan dengan haiwan yang mempunyai bulu yang sangat sedikit,Ayam dogeang selalu kena patok dengan ayam laen.,[A.jAm d.gE.jAN s«.lA.lu k«.nA pA.to d«.NAn A.jAm lAen],Ayam dogeang selalu dipatuk oleh ayam lain.,,,
2. berkenaan dengan sesuatu yang tidak lengkap kelengkapannya,"Tok sah bawak baskat dogeang tu pi pekan, sat ni mata-mata tangkap.",[to sAh bA.wA bAs.kAt do.gE.jAN tu pi p«.kAn sAt ni mA.tA.mA.tA tAN.kAp],"Jangan bawa basikal dogeang itu ke bandar, nanti polis tangkap.",,,
2. sombong.,Bini dia nampak com tapi ramah.,[bi.ni di.jA nAm.pA/ tSm tA.pi ÒA.mAh],Isterinya nampak sombong tetapi peramah.,,,
2. berkenaan dengan seseorang yang mengeluarkan kata-kata yang tidak perlu yang memungkinkan sesuatu itu terjadi,"Tok sah dok celapoi sangat mulot hang tu, sat ni betoi-betoi keluaq ulaq kot baru hang tau.",[to sAh do tS«.lA.poj sA.NAt mu.lot hAN tu sAt ni b«.toj.b«.toj k«.lu.wA)Ö u.lA)Ö kot bA.Òu hAN tAw],"Jangan celapoi sangat mulut awak tu, sebentar lagi ular betul keluar baru awak tahu.",,,
3. panggilan mesra oleh orang tua kepada kanak-kanak,Cek pi beli curut kat kedai sat.,[tSE pi b«.li tSu.Òut kAt k«.dAj sAt],Cek pergi beli curut di kedai sebentar.,,,
"2. ganti nama diri kedua tunggal; awak, hang, kau",Pi salen baju dulu kalu cek nak ikot pi makan kenuri.,[pi sA.len bA.dZu du.lu kA.lu tSE nA i.kot pi mA.kAn k«.nu.Òi],Pergi salin baju dulu kalau cek hendak ikut pergi makan kenduri.,,,
2. celupar.,"Jangan capoi sangat mulot hang tu, nanti pak belang keluaq sunggoh baru hang tau.",[dZA.NAn tSA.poj sA.NAt mu.lot hAN tu nAn.ti pA b«.lAN k«.lu.wA)Ö suN.gh bA.Òu hAN tAw],"Jangan capoi sangat mulut kamu tu, nanti harimau betul keluar baru kamu tahu.",,,
3. berkenaan dengan air di sawah sekadar buku lali.,Masa ayaq cap-cap ni orang serak beneh padi .,[mA.sA A.jA)Ö tSAp.tSAp ni .ÒAN sE.ÒA/ b«.nEh pA.di],Semasa air setakat buku lali orang serak benih padi.,,,
2. berkenaan dengan makanan yang tidak lebih dan tidak kurang.,Laok tu cap-cap untok sepuloh orang saja.,[lAo/ tu tSAp.tSAp un.to/ s«.pu.loh .ÒAN sA.dZA],"Lauk tu tidak lebih dan tidak kurang, hanya untuk sepuluh orang.",,,
3. celupar.,Mulot jangan dok bersiaq bila kita sampai kat Mekah.,[mu.lot. dZA.NAn do/ bE.si.jA)Ö bi.lA ki.tA sAm.pAj kAt m«.kAh],Mulut jangan celupar bila kita tiba di Mekah.,,,
2. berkenaan dengan seseorang yang kerap bercakap.,"Diam la sikit, awat besiaq sangat hampa ni, orang nak dengaq dia becakap pulak.",[di.jAm lA si.kit A.wAt bE.si.jA)Ö sA.NAt hAm.pA ni .ÒAN nA d«.NA)Ö di.jA b«.tSA.kAp pu.lA],"Diamlah, mengapa besiaq sangat kamu ini, kami hendak mendengar ucapannya pula.",,,
2. mabuk.,Baru kena setengah kole tuak dah beng.,[bA.Òu k«.nA s«.t«.NAh ko.lE tu.wA dAh b«N],Baru minum setengah kole tuak sudah mabuk.,,,
2. berkenaan muka yang comot.,"Makan ceremat sikit aih sekerem tu, sat ni belopiang.",[mA.kAn tS«.Ò«.mAt si.kit AC s«.k«.rem tu sAt ni b«.l.pi.jAN],"Makan elok-elok ais krim itu, nanti comot.",,,
"2. berkenaan dengan tempat, seperti tanah atau padang dan lain-lain, yang berair.",Depan rumah dia belenja lepaih ujan.,[d«.pAn Òu.mAh di.jA b«.l«n.dZA l«.pAC u.dZAn],Depan rumahnya berair selepas hujan.,,,
"3. berkenaan dengan seseorang atau haiwan yang berlari dengan pantas disebabkan oleh sesuatu (seperti terkejut, dikejar dan lain-lain lagi).",Dia lari bejabu bila kena ligan dengan anjin.,[di.jA lA.ÒI b«.dZA.bu bi.lA k«.nA li.gAn d«.NAn An.dZin],Dia berlari pantas apabila dikejar anjing.,,,
2. perihal mengata seseorang dengan bertubi-tubi.,Depa dok mengata kat dia bejabu pasai dia naek pangkat.,[dE.pA do/ m«.NA.tA kAt di.jA b«.dZA.bu pA.sAj di.jA nAe/ pAN.kAt],Mereka mengatanya bejabu sebab dia dinaikkan pangkat.,,,
3. terlalu marah.,Bedesiu aku bila dengaq Minah pangge laki aku `abang'.,[b«.d«.si.ju A.ku bi.lA d«.NA)Ö mi.nAh pAN.gE lA.ki A.ku A.bAN],Saya terlalu marah apabila mendengar Minah memanggil suami saya 'abang'.,,,
2. berkenaan dengan kenderaan yang terlalu laju.,Budak-budak muda tu bawak moto bedesiu.,[bu.dA.bu.dA mu.dA tu bA.wA m.t b«.d«.si.ju],Budak-budak muda itu mengunggang motorsikal terlalu laju.,,,
3. marah bila mendengar sesuatu.,Bedegung sunggoh aku bila dengar dia buat-buat cerita.,[b«.d«.NuN suN.goh A.ku bi.lA d«.NA)Ö di.jA bu.wAt.bu.wAt tS«.Òi.tA],Saya tersangat marah apabila mendengar dia mereka-reka cerita.,,,
"2. khayal selepas menghisap ganja, candu, morfin dan lain-lain.",Ali dok bedengung masa tarek ganja.,[A.li do b«.d«.NuN mA.sA tA.Òe gAn.dZA],Ali khayal semasa menghisap ganja.,,,
2. berkenaan dengan sesuatu yang banyak dan tidak tersusun bededam.,"Aku tengok pinggan bededam, penyegan sunggoh budak-budak ni nak basoh.",[A.ku tE.N piN.gAn b«.d«.dAm p«.ø«.gAn suN.goh bu.dA.bu.dA ni nA bA.soh],"Saya tengok pinggan bededam, malas sungguh budak-budak ini hendak membasuhnya.",,,
2. berkenaan dengan sesuatu yang banyak dan tidak tersusun; bededam-dedam.,Buleh hang dok biaq pinggan bededam di dapok?,[bu.leh hAN do/ bi.jA)Ö piN.gAn b«.d«.dAm di dA.po)Ö],Boleh kamu membiarkan pinggan bededam di dapur?,,,
3. berkenaan dengan anak yang kecil dan ramai bilangannya; bekederet.,"Depa tu nampak muda lagi, tapi anak dah beceretet.",[dE.pA tu nAm.pA mu.dA lA.gi tA.pi A.nA dAh b«.tS«.ÒE.tEt],"Pasangan itu nampak muda, tetapi anak mereka ramai.",,,
2. berkenaan dengan sesuatu yang banyak dan tidak tersusun; beceratoq.,Ayam hat tak masok lau beceretet ataih pokok.,[A.jAm hAt tA/ mA.so/ lAw b«.tS«.ÒE.tEt A.tAC p.ko/],Ayam yang tidak masuk reban banyak di atas pokok.,,,
2. berkenaan dengan sesuatu yang banyak dan tidak tersusun; beceretek.,Sapa pon tak peduli nak basoh gelaih hat beceratoq ataih meja.,[sA.pA pon tA/ p«.du.li nA/ bA.soh g«.lAC hAt b«.tS«.ÒA.to)Ö A.tAC mE.dZA],Siapa pun tidak peduli untuk membasuh gelas yang banyak di atas meja.,,,
2. mengawasi atau mengekori pergerakan seseorang.,Pak Mat tak buleh pi mana pasai bini dia dok becendoi.,[pA mAt tA bu.leh pi mA.nA pA.sAj bi.ni di.jA do b«.tSEn.doj],Pak Mat tidak boleh pergi ke mana-mana kerana isterinya senantiasa mengawasinya.,,,
2. berkenaan dengan seseorang yang memakai beberapa lapis pakaian atau pakaian yang berlebih corak atau fesyen.,Dia pakai baju beberan-beran nak bagi cepat kebah.,[di.jA pA.kAj bA.dZu b«.b«.ÒAn.b«.ÒAn nA/ bA.gi tS«.pAt k«.bAh],Dia memakai baju berlapis-lapis supaya cepat kebah.,,,
2. berkenaan dengan kanak-kanak yang berkelakuan tidak menyenangkan.,"Anak aku bebai, dia begulin depan kedai pasai aku tak beli pemenan.",[A.nA A.ku b«.bAj di.jA b«.gu.lin d«.pAn k«.dAj pA.sAj A.ku tA b«.li p«.mE.nAn],"Anak saya bebai, dia berguling di hadapan kedai sebab saya tidak membeli permainan.",,,
2. mendengar perbualan dengan penuh minat tetapi tidak ikut serta dalam perbualan tersebut.,Aku dok bang kat kedai kopi orang dok cerita pasai tok pengulu menikah dengan anak dara.,[A.ku do bAN kAt k«.dAj k.pi o.ÒAN do tS«.Òi.tA pa.sAj to/ p«.Nu.lu m«.ni.kAh d«.NAn A.nA/ dA.ÒA],Saya dengar perbualan di kedai kopi orang bercerita tentang tok penghulu berkahwin dengan anak dara.,,,
"2. berkenaan dengan kesan yang panjang pada badan, betis, punggung akibat dipukul dengan sesuatu seperti rotan, tali pinggang dan lain-lain; bebalok.",Dia kena pukoi dengan ekoq pari sampai baloq.,[di.jA k«.nA pu.koj d«.NAn E.ko)Ö pA.Òi sAm.pAj bA.l)Ö],Dia kena pukul dengan ekor pari sampai berkesan.,,,
2. mengusik haiwan.,"Jangan dok acan-acan maen lembu tu, sat ni dia tandok.","[dZA.NAn do/ A.tSAn.A.tSAn mAen l«m.bu tu, sAt ni di.jA tAn.do/]","Jangan menggusik lembu itu, nanti lembu itu tanduk.",,,
2.memberi gelaran kepada seseorang.,Depa acan dia dokyok pasai dia reja mata-mata.,[dE.pA A.tSAn di.jA do/.j/ pA.sAj di.jA Ò«.dZA mA.tA.mA.tA],Mereka menggelarnya dokyok kerana dia bekerja sebagai polis.,,,
noh,[noh],kata tugas,1. kata yang digunakan pada akhir ayat tanya,Apa kata kita singgah kat rumah dia sat noh?,[A.pA kA.tA ki.tA siN.gAh kAt Òu.mAh di.jA sAt noh],Apa kata kita singgah di rumahnya sebentar noh?
dok,[do],kata tugas,1. sedang,"Masa kami dok makan semalam, aleh-aleh lampu padam.",[mA.sA kA.mi do mA.kAn s«mA.lAm Aleh.A.leh lAm.pu pA.dAm],"Sedang kami makan malam, tiba-tiba lampu padam."
cek,[tSE],kata nama,"1. ganti nama diri pertama tunggal; saya, aku",Kalu buleh cek pon nak pi jugak.,[kA.lu bu.leh tSE pon nA pi dZu.gA],Kalau boleh saya pun hendak pergi juga.
bang,[bAN],kata kerja,1. mendengar perbualan dengan tujuan mengintip.,"Cakap bok baek sikit, depa dok bang kita besembang ni.",[tSA.kAp b bAe si.kit dE.pA do bAN ki.tA b«.sEm.bAN ni],"Cakap baik-baik sikit, mereka sedang mendengar kita berbual."
tutoh,[tu.toh],kata kerja,1. makan.,Hang tutoh udang kat hang sorang saja noh.,[hAN tu.toh u.dAN kAt hAN so.ÒAN sA.dZA noh],Awak makan udang seorang sajalah.
tinaih,[ti.nAC],kata kerja,"1. menindih serangga kecil seperti kutu, pijat, semut dan lain-lain menggunakan ibu jari","Banyak sangat kutu hang, lengoh aku nak tinaih.",[bA.øA sA.NAt ku.tu hAN l«.Noh A.ku nA ti.nAC],"Banyak sangat kutu awak, penat saya menindih dengan jari."
tera,[t«.ÒA],kata tugas,1. sementara,Tera depa nak mai hang dok sini dulu.,[t«.ÒA dE.pA nA mAj hAN do si.ni du.lu],Sementara mereka sampai awak tinggal di sini dulu.
selop,[s«.lop],kata kerja,1. tergamam,Budak tu selop lepaih kena tampaq dengan orang tua tu.,[bu.dA tu s«.lop l«.pAC k«.nA tAm.pA)Ö d«.NAn o.ÒAN tu.wA tu],Budak itu tergamam selepas ditampar dengan orang tua itu.
relaih,[Ò«.lAC],kata kerja,1.         mengambil seluruhnya,Budak-budak ni relaih habeh buah kayu orang.,[bu.dA.bu.dA ni Ò«.lAC hA.beh bu.wAh kA.ju o.ÒAN],Budak-budak ini mengambil semua buah-buahan orang.
reba,[Ò«.bA],kata nama,1. ranting kayu yang dicampakkan ke dalam telaga bendang supaya menarik ikan untuk berkumpul,"Nak bagi ikan mai banyak dalam telaga bendang, cepat buboh reba.",[nA/ bA.gi i.kAn mAj bA.øA/ dA.lAm t«.lA.gA b«n.dAN tS«.pAt bu.boh Ò«.bA],"Hendak banyak ikan dalam telaga bendang, cepat letakkan ranting kayu."
piau,[pi.jAw],kata adjektif,"1. pekat berkenaan kuah, minuman dan sebagainya","Kuah laksa tu piau sangat, boh ayaq sikit.",[ku.wAh lA.sA tu pi.jAw sA.NAt boh A.jA)Ö si.kit],"Kuah laksa itu sangat pekat, tambah air sedikit."
petek,[p«.te],kata kerja,1. menuju guli dengan cara jari sebelah tangan memegang guli dan satu jari tangan yang lain lagi menolak guli,Tala betoi-betoi guli dia baru hang petek kuat-kuat.,[tA.lA b«.toj.b«.toj gu.li di.jA bA.Òu hAN p«.te ku.wAt.ku.wAt],Tala betul-betul gulinya baru awak tuju kuat-kuat.
pekop,[p«.kop],kata kerja,1. melengkungkan tapak tangan di atas sesuatu permukaan yang rata,Kami semua pakat pekop telinga bila nak cucoh meriam buloh.,[kA.mi s«.mu.wA pA.kAt p«.kop t«.li.NA bi.lA nA tSu.tSoh m«.Òi.jAm bu.loh],Kami semua pekop telinga bila hendak menyalakan meriam buluh.
payong,[pA.joN],kata kerja,1. memangkah gasing yang sedang berpusing,Aku payong dulu lepaih tu baru giliaq hang.,[A.ku pA.joN du.lu l«.pAC tu bA.Òu gi.li.jA)Ö hAN],Saya pangkah gasing dahulu selepas itu baru giliran awak.
muleh,[mu.leh],kata kerja,1. mendapat habuan atau hukuman,"Kalu hang usek adek hang sekali lagi, hang muleh la.",[kA.lu hAN u.se/ A.de/ hAN s«.kA.li lA.gi hAN mu.leh lA],Kalau awak usik adik awak sekali lagi awak akan mendapat hukuman.
muka pot,[mu.kA pot],1. berkenaan dengan seseorang yang tidak tahu malu,Orang muka pot lagu tu hampa toh sah dok kata apa.,[.ÒAN mu.kA pot lA.gu tu hAm.pA to/ sAh do/ kA.tA A.pA],Orang yang tidak tahu malu seperti itu kamu jangan kata apa.,
loceh,[lo.tSEh],kata kerja,"1. menanggalkan barang perhiasan seperti gelang, cincin, jam tangan, rantai dan lain-lain",Penyamun paksa dia loceh gelang dengan cincin.,[p«.NA.mun pA/.sA di.jA lo.tSeh g«.lAN d«.NAn tSin.tSin],Penyamun memaksanya melorot gelang dan cincin.
lece,[lE.tSE],kata adjektif,1. berkenaan dengan tidak bersungguh-sungguh dalam membuat sesuatu.,Depa maen sunggoh-sunggoh tapi kalah pasai penjaga gol depa lece.,[dE.pA mAen suN.goh.suN.goh tA.pi kA.lAh pA.sAj p«n.dZA.gA gol dE.pA lE.tSE],Mereka main sungguh-sungguh tapi kalah sebab penjaga gol mereka tidak bersungguh-sungguh.
latu,[lA.tu],kata kerja,1. menggunakan sesuatu berulang kali.,Awat tak lingkop moto tu pasai semua dok latu.,[A.wAt tA/ liN.kop m.t tu pA.sAj s«.mu.wA do/ lA.tu],Macam mana tidak rosak motosikal itu sebab semua orang guna.
langgah,[lAN.gAh],kata kerja,1. minum banyak-banyak sekali gus dengan keadaan kepala mendongak,"Masa bukak posa jangan langgah ayaq banyak sangat, sat ni tak lalu makan nasik.",[mA.sA bu.kA/ p.sA dZA.NAn lAN.gAh A.jA)Ö bA.øA/ sA.NAt sAt ni tA/ lA.lu mA.kAn nA.si/],Masa berbuka puasa jangan minum banyak-banyak nanti tidak lalu makan nasi.
lagang,[lA.gAN],kata kerja,1. menyesuaikan diri dalam sesuatu situasi,Menantu dia mem tapi sat saja buleh lagang.,[m«.nAn.tu di.jA mem tA.pi sAt sA.dZA bu.leh lA.gAN],Menantunya orang putih tapi sekejap sahaja boleh menyesuaikan diri.
laeh,[lA.eh],kata adjektif,"1. letih, lemah atau tidak bermaya.","Awat hang nampak laeh sangat, orang laen pon posa jugak.",[A.wAt hAN nAm.pA/ lAeh sA.NAt .ÒAN lAen pon p.sA dZu.gA/],"Mengapa awak nampak sangat letih, orang lain pun puasa juga."
kucai,[ku.tSAj],kata kerja,1. mengganggu seseorang atau haiwan.,"Tok sah dok kucai dia, sat gi dia marah.",[to/ sAh do/ ku.tSAj di.jA sAt gi di.jA mA.ÒAh],Jangan ganggu dia nanti dia marah.
kolet,[k.lEt],kata nama,1. konduktor bas,"Dulu dia reja kolet baih, la ni dia bukak kedai makan.",[du.lu di.jA Ò«.dZA k.lEt bAC lA ni di.jA bu.kA/ k«.dAj mA.kAn],"Dulu dia bekerja sebagai konduktor bas, sekarang dia buka kedai makan."
keset,[k«.set],kata adjektif,1. kecil berkenaan buah,Pasai kemarau panjang kot buah moktan ni keset.,[pA.sAj k«.mA.ÒAw pAn.dZAN kot bu.wAh mo/.tAn ni k«.set],Sebab kemarau panjang agaknya buah rambutan ini kecil.
karau,[kA.ÒAw],kata kerja,1. menghabiskan isi sahaja dan meninggalkan kuah.,Habeh hang karau laok tinggai kuah gulai saja lagi.,[hA.bEh hAN kA.ÒAw lAo/ tiN.gAj ku.wAh gu.lAj sA.dZA lA.gi],Awak habiskan lauk tinggal kuah gulai saja lagi.
jujoh,[dZu.dZoh],kata adjektif,"1 berkenaan dengan buah bermusim (seperti durian, manggis, rambutan dan lain-lain) yang boleh didapati dengan banyak ketika musimnya","Pak pesan balek awai sikit, derian tengah dok jujoh.",[pA/ p«.sAn bA.le/ A.wAj si.kit d«.Òi.jAn t«.NAh do/ dZu.dZoh],"Bapa pesen balik awal sikit, durian sedang banyak."
juah,[dZu.wAh],kata adjektif,1. berkenaan dengan seseorang yang menunjuk-nunjuk tentang sesuatu kelebihan yang dimiliki.,"Jangan dok juah sangat, mentang-mentang makanan banyak hang dok buang, nanti tuhan serot rezeki baru hang tau.",[dZA.NAn do/ dZu.wAh sA.NAt m«n.tAN.m«n.tAN mA.kA.nAn bA.NA/ hAN do/ bu.wAN nAn.ti tu.hAn s«.Ò)t Ò«.z«.ki bA.Òu hAN tAw],"Jangan menunjuk-nunjuk sangat, mentang- mentang makanan banyak kamu buang, nanti tuhan tarik rezeki baru kamu tahu."
idap,[i.dAp],kata adjektif,1. berkenaan dengan seseorang yang melakukan sesuatu secara berulang kali.,"Mentang-mentang baju tu mahai, hang idap pakai hat tu saja.",[m«n.tAN.m«n.tAN bA.dZu tu mA.hAj hAN i.dAp pA.kAj h­At tu sA.dZA],"Mentang-mentang baju itu mahal, awak pakai yang itu sahaja."
handaih,[hAn.dAC],kata kerja,1. menindih sesuatu pada sesuatu,Lepaih pasang kelambu hang handaih dengan bantai tok sah bagi nyamok masok.,[l«.pAC pA.sAN k«.lam.bu hAN hAn.dAC d«.NAn bAn.tAj to sAh bA.gi øA.m mA.so],Lepas pasang kelambu awak tindih dengan bantal untuk mengelak nyamuk masok.
gebang,[gE.bAN],kata kerja,1. cakap kosong; gelembong.,"Abang Mat tu bukan mak tak tau, gebang dia saja yang lebeh, kalu suroh buat belom tau lagi.",[A.bAN mAt tu bu.kAn mA tA tAw gE.bAN di.jA sA.dZA jAN l«.beh kA.lu su.Òoh bu.wAt b«.lom tAw lA.gi],"Abang Mat itu bukan mak tidak tahu, cakapnya kosong, kalau disuruh buat belum tentu lagi."
garet [,[gA.Òet],kata adjektif,1. berkenaan dengan perempuan yang suka berkawan dengan lelaki secara menjolok mata,"Budak betina tu garet sunggoh, beromen dalam panggong wayang.",[bu.dA b«.ti.nA tu gA.Òet suN.goh b«.ro.men dA.lAm pAN.goN wA.jAN],"Budak perempuan itu garit sunggoh, bercium dalam panggung wayang."
galak,[gA.lA],kata adjektif,1. berkenaan dengan perangai yang gatal.,Tera umoq dia pon dok galak kacau anak dara orang.,[t«.ÒA u.mo)Ö di.jA pon do/ gA.lA/ kA.tSAw A.nA/ dA.ÒA .ÒAN],Umur seperti dia pun masih gatal mengacau anak dara orang.
com,[tSm],kata adjektif,1. berkenaan dengan muka seseorang yang masam,Depa tak berani tegoq dia pasai muka dia com semedang.,[dE.pA tA b«.ÒA.ni t«.go)Ö di.jA pA.sAj mu.kA di.jA tSm s«.m«.dAN],Mereka tidak berani menegurnya sebab mukanya sentiasa masam.
capoi,[tSA.poj],kata adjektif,1. berkenaan dengan seseorang yang bercakap lepas.,"Mulot dia capoi sikit, aku takot orang kampong gat ati.",[mu.lot di.jA tSA.poj si.kit A.ku tA.kot o.ÒAN kAm.poN hA.Nat A.ti],"Mulut dia capoi sikit, saya takut orang kampung marah."
beng,[b«N],kata adjektif,1. marah atau bengang.,Aku beng betoi pasai kena buat reja banyak.,[A.ku b«N b«.toj pA.sAj k«.nA bu.wAt Ò«.dZA bA.øA],Saya sungguh marah sebab perlu buat banyak kerja.
bebai,[b«.bAj],kata adjektif,1. bekenaan dengan seseorang yang melakukan sesuatu pekerjaan dalam keadaan marah atau terpaksa.,"Dia baru balek reja, bila aku suroh pi kedai dia mola bebai.",[di.jA bA.Òu bA.le/ Ò«.dZA bi.lA A.ku su.Òoh pi k«.dAj di.jA m.lA b«.bAj],"Dia baru balik dari kerja, bila saya suruh pergi kedai dia mula bebai."
acan,[A.tSAn],kata kerja,1. mengusik seseorang atau haiwan.,"Jangan dok acan anjin tu, sat ni dia tokak.",[dZA.NAn do/ A.tSAn An.dZin tu sAt ni di.jA to.kA/],"Jangan mengusik anjing itu, nanti anjing gigit."
tahana,[tA.hA.nA],kata kerja,1. menganiaya seseorang atau haiwan,"Jangan tahana kat kucin, berdosa besak",[dZA.øAn tA.hA.nA kAt ku.tSin b«.do.sA b«.sA)Ö],"Jangan menganiaya kucing, berdosa besar."
serelom,[s«.Ò«.lom],kata kerja,"1. menyarung sesuatu daripada atas kepala (seperti baju, kain, songkok dan sebagainya)",Orang pakai baju melayu kena serelom pasai dia tak dak butang.,[o.ÒAN pA.kAj bA.dZu m«.lA.ju k«.nA s«.Ò«.lom pA.sAj di.jA tA dA bu.tAN],Orang memakai baju Melayu perlu menyarungnya daripada atas kepala sebab tidak berbutang.
sentot,[s«n.tot],kata adjektif,"1. berkenaan dengan muka atau kelakuan seseorang disebabkan oleh sesuatu hal yang negatif contohnya apabila dimarahi, dituduh dan lain-lain",Adek aku sentot pasai mak aku marah dia tak pi mengaji kuran.,[A.de A.ku s«n.tot pA.sAj mA A.ku mA.ÒAh di.jA tA pi m«.NA.dZi kuÒ.An],Adik saya sentot sebab mak memarahinya kerana tidak pergi belajar al-Quran.
semurop,[s«.mu.Òop],kata nama,1. binaan yang berbumbung sendeng yang penggunaan bersifat sementara. Biasanya binaan ini dibuat untuk menjual buah-buahan yang bermusim.,Orang buat semurop kat dusun nak himpon derian.,[.ÒAN bu.wAt s«.mu.Òop kAt du.sun nA/ him.pon d«.Òi.jAn],Orang membuat semurop di dusun untuk menghimpun durian.
selangkom,[s«.lAN.lom],kata kerja,1. makan sampai habis; pairap,Mai kita selangkom moktan seraga ni.,[mAj ki.tA s«.lAN.kom mk.tAn s«.ÒA.gA ni],Mari kita makan habis rambutan seraga ini.
pungkoq,[puN.ko)Ö],kata nama,1. bahagian belakang badan antara pinggang dengan pangkal paha,Cekgu besaq pukoi dia kat pungkoq dengan rotan sepuloh kali.,[tSE.gu b«.sA)Ö pu.koj di.jA kAt puN.ko)Ö d«.NAn Òo.tAn s«.pu.loh kA.li],Guru besar memukulnya di punggung dengan rotan sepuluh kali.
pidiah,[pi.di.jAh],kata kerja,1. mengambil sesuatu melebihi had sepatutnya; pediah,Habeh laok dia pidiah bawak balek.,[hA.beh lAo di.jA pi.di.jAh bA.wA bA.le],Habis lauk diambilnya bawa balik.
perisi,[p«.Òi.si],kata kerja,"1. mengasingkan atau menanggalkan sesuatu seperti antah daripada beras, kulit daripada bawang, isi buah daripada bijinya dan buah daripada tangkainya.",Dulu kalu nak menanak kena perisi beraih.,[du.lu kA.lu nA m«.nA.nA/ k«.nA p«.Òi.si b«.ÒAC],Dulu kalau hendak memasak nasi perlu buang antah.
periat,[p«.Òi.jAt],kata kerja,1. meramal,Bomo periat reta dia ada di Siam.,[b.mo p«.Òi.jAt ÒE.tA di.jA A.dA kAt si.jAm],Bomoh meramal yang keretanya berada di Thailand.
pekunu,[p«.ku.nu],kata kerja,1. memperbodoh seseorang; pekunon,"Hang tok sah dok pekunu, rumah lagu tu tak sampai pon lapan puloh ribu.",[hAN to/ sAh do/ p«.ku.nu kA.mi Òu.mAh lA.gu tu tA/ sAm.pAj pon lA.pAn pu.loh Òi.bu],"Kamu jangan memperbodoh kami, rumah seperti itu tidak pun sampai lapan puluh ribu."
pekunon,[p«.ku.non],kata kerja,1. memperbodoh seseorang; pekunu,"Bawak mak pusin-pusin Kolompo, sat ni orang tak buleh pekunon.",[bA.wA/ mA/ pu.sin.pu.sin k.lm.p sAt ni .ÒAN tA/ bu.leh p«.ku.non],"Bawa emak bersiar-siar di Kuala Lumpur, nanti orang tidak boleh memperbodohkannya."
pekena,[p«.k«.nA],kata kerja,1. makan,Sebelom pi jom kita pekena dulu.,[s«.b«.lom pi dZom ki.tA p«.k«.nA du.lu],Sebelum pergi mari kita makan dulu.
pediah,[p«.di.jAh],kata kerja,1. mengambil sesuatu melebihi had sepatutnya; pidiah,"Barang tu hang patot bagi sama banyak, jangan pulak hang pediah kat hang sorang.",[bA.ÒAN tu hAN pA.tot bA.gi sA.mA bA.øA dZA.NAn pu.lA hAN p«.di.jAh kAt hAN so.ÒAN],"Barang itu sepatutnya awak bahagi sama banyak, jangan pula awak mengambilnya seorang diri."
meruah,[m«.Òu.wAh],kata kerja,1. membuang air besar,"Hari ni saja dah berapa kali dia meruah, silap makan kot.",[hA.Òi ni sA.dZA dAh b«.ÒA.pA kA.li di.jA m«.Òu.wAh si.lAp mA.kAn kot],"Hari ini saja sudah berapa kali dia membuang air besar, tersilap makan agaknya."
merenyut,[m«.Ò«.øut],kata adjektif,1. berkenaan dengan serangga atau ulat yang bergerak-gerak dalam jumlah yang banyak.,"Dah dua hari bangkai kucin kat situ, merenyut ulat.",[dAh du.wA hA.Òi bAN.kAj ku.tSin kAt si.tu dAh m«.Ò«.øut u.lAt],"Sudah dua hari bangkai kucing di situ, merenyut ulat."
merenyau,[m«.Ò«.øAw],kata adjektif,1. berasa gatal di seluruh badan miang,Kot mana pon aku kena pi mandi jugak. Kalu tak mandi merenyau badan.,[kot mA.nA pon A.ku k«.nA pi mAn.di dZu.gA/ kA.lu tA/ mAn.di m«.Ò«.øAw bA.dAn],Bagaimanapun saya perlu mandi juga. Kalau tidak mandi gatal badan.
merendeh,[m«.ÒEn.dEh],kata kerja,1. membawa sesuatu yang banyak dengan tangan,"Apa yang hang merendeh banyak sangat ni, hang balek dari pasa malam ka?",[A.pA jAN hAN m«.ÒEn.dEh bA.øA/ sA.NAt ni hAN bA.le/ dA.Òi pA.sA mA.lAm kA],"Apa yang awak bawa banyak sangat ini, awak balik dari pasar malam ke?"
